Probeset_ID	Gene_Title	Gene_Symbol	ENTREZ_GENE_ID	RefSeq_Transcript_ID
1367495_at	prefoldin subunit 4-like	LOC100366237	100366237	XM_002726276
1367496_at	transmembrane 9 superfamily member 2	Tm9sf2	306197	NM_001005554
1367497_at	phosphatidylserine synthase 1	Ptdss1	314553	NM_001012113
1367498_at	YTH domain family, member 1	Ythdf1	296467	NM_001024756
1367499_at	solute carrier family 35, member C1	Slc35c1	311204	NM_001107748
1367500_at	split hand/foot malformation (ectrodactyly) type 1	Shfm1	680532	NM_001126090
1367501_at	signal recognition particle 72	Srp72	498351	NM_001170601 /// XM_001066751 /// XM_001074215
1367502_at	mitochondrial ribosomal protein L21	Mrpl21	309140	NM_001107567
1367503_at	B-cell receptor-associated protein 31	Bcap31	293852	NM_001004224
1367504_at			NaN	
1367505_at	zinc finger protein 644	Znf644	305127	NM_001139484
1367506_at	mitochondrial ribosomal protein L11	mrpl11	293666	NM_001006973
1367507_at	nudix (nucleoside diphosphate linked moiety X)-type motif 22	Nudt22	293703	NM_199090
1367508_at	RGD1565784	RGD1565784	497874	NM_001109028
1367509_at	general transcription factor IIH, polypeptide 5	Gtf2h5	502227	NM_001126088
1367510_at	thioredoxin domain containing 15	Txndc15	307180	NM_001024998
1367511_at	nicastrin	Ncstn	289231	NM_174864
1367512_at	chromatin modifying protein 5	Chmp5	297995	NM_001025410
1367513_at	Transmembrane 9 superfamily protein member 4	Tm9sf4	296279	NM_001025649
1367514_at	similar to RIKEN cDNA 9030624J02	LOC361635	361635	NM_001017463
1367515_at	CCR4-NOT transcription complex, subunit 7	Cnot7	306492	NM_001107313
1367516_at	distrobrevin binding protein 1	Dtnbp1	641528	NM_001037664
1367517_at			NaN	
1367518_at	fat mass and obesity associated	Fto	291905	NM_001039713
1367519_at	oxysterol binding protein-like 2	Osbpl2	296461	NM_001013079
1367520_at	apolipoprotein A-I binding protein	Apoa1bp	295229	NM_001106440
1367521_at			NaN	
1367522_at	coagulation factor VIII-associated (intronic transcript) 1	F8a1	501661	NM_001109323
1367523_at	trafficking protein particle complex 2-like	Trappc2l	292074	NM_001106193
1367524_at	zinc finger protein 592	Znf592	293038	NM_001106272
1367525_at	thyroid hormone receptor associated protein 3	Thrap3	313591	NM_001009693
1367526_at	mitochondrial ribosomal protein S26	Mrps26	362216	NM_001013206
1367527_at	similar to Importin-8 (Imp8) (Ran-binding protein 8) (RanBP8)	LOC686774	686774	XR_085827
1367528_at	F-box and WD repeat domain containing 8	Fbxw8	304522	NM_001107145
1367529_at	Der1-like domain family, member 1	Derl1	362912	NM_001014202
1367530_at	syntaxin 16	Stx16	362283	NM_001108610
1367531_at	eukaryotic translation initiation factor 4H	Eif4h	288599	NM_001006957
1367532_at	DAZ associated protein 2	Dazap2	300235	NM_001013107
1367533_at	elongation protein 2 homolog (S. cerevisiae)	Elp2	307545	NM_001034145
1367534_at	RAB GTPase activating protein 1	Rabgap1	311911	NM_001107841
1367535_at	interferon regulatory factor 2 binding protein 1	Irf2bp1	308404	NM_001107483
1367536_at	APAF1 interacting protein	Apip	295961	NM_001106492
1367537_at	eukaryotic translation initiation factor 4E nuclear import factor 1	Eif4enif1	305468	NM_001107230
1367538_at			NaN	
1367539_at			NaN	
1367540_at	zinc finger, FYVE domain containing 26	Zfyve26	314265	NM_001108038
1367541_at	methyltransferase like 5	Mettl5	502632	NM_001114181
10306073564727_ a/t/   D N A   b i n d i n g   / /   i n f e r r e d   f r o m   e l e c t r o n i c   a n n o t a t i o n	GC-rich promoter binding protein 1-like 1 /// vasculin-like protein 1-like	Gpbp1l1 /// LOC100364632	100364632	/// 313519
1367543_at	similar to Protein SYS1 homolog	LOC685079	685079	XM_001062200 /// XM_002726293
1367544_at	ring finger protein 111	Rnf111	300813	NM_001106836
1367545_at	RAB GTPase activating protein 1	Rabgap1	311911	NM_001107841
1367546_at	mitochondrial ribosomal protein L43	Mrpl43	309440	NM_001107598
1367547_at	zinc finger, MYM-type 2	Zmym2	305913	XM_001060431 /// XM_224241
1367548_at	suppressor of defective silencing 3 homolog (S. cerevisiae)	Suds3	360819	XM_001080131 /// XM_341092
1367549_a_at	adaptor-related protein complex 3, delta 1 subunit	Ap3d1	314633	NM_001100719
1367550_a_at	TM2 domain containing 1	Tm2d1	362545	NM_001108670
1367551_a_at	similar to CG14980-PB	RGD1306410	360768	NM_001014126
1367552_at	seminal vesicle secretory protein 4	Svs4	24802	NM_012662
1367553_x_at	hemoglobin, beta	Hbb	24440	NM_033234
10306075545848_ a/t/   b i n d i n g   / /   i n f e r r e d   f r o m   e l e c t r o n i c   a n n o t a t i o n   / / /   0 0 0 5 4 9 6   / /   s t e r o i d   b i n d i n g   / /   i n f e r r e d   f r o m   e l e c t r o n i c   a n n o t a t i o n   / / /   0 0 0 8 2 8 9   / /   l i p i d   b i n d i n g   / /   i n f e r r e d   f r o m   e l e c t r o n i c   a n n o t a t i o n	secretoglobin, family 2A, member 1 /// secretoglobin, family 2A, member 2	Scgb2a1 /// Scgb2a2	25010	/// 361725
1367555_at	albumin	Alb	24186	NM_134326
1367556_s_at	albumin	Alb	24186	NM_134326
1367557_s_at	glyceraldehyde-3-phosphate dehydrogenase	Gapdh	24383	NM_017008
1367558_x_at	androgen regulated 20 kDa protein	Andpro	25030	NM_012718
1367559_at	ferritin, light polypeptide	Ftl	29292	NM_022500
1367560_at	ribosomal protein, large, P0	Rplp0	64205	NM_022402
1367561_at	ribosomal protein L27	Rpl27	64306	NM_022514
1367562_at	secreted protein, acidic, cysteine-rich (osteonectin)	Sparc	24791	NM_012656
1367563_at	secreted protein, acidic, cysteine-rich (osteonectin)	Sparc	24791	NM_012656
1367564_at	natriuretic peptide precursor A	Nppa	24602	NM_012612
1367565_a_at	ferritin, heavy polypeptide 1	Fth1	25319	NM_012848
1367566_at	secretoglobin, family 1A, member 1 (uteroglobin)	Scgb1a1	25575	NM_013051
1367567_at	ribosomal protein L6	Rpl6	117042	NM_053971
1367568_a_at	matrix Gla protein	Mgp	25333	NM_012862
1367569_at	ribosomal protein SA	Rpsa	29236	NM_017138
1367570_at	transgelin	Tagln	25123	NM_031549
1367571_a_at	insulin-like growth factor 2	Igf2	24483	NM_001190162 /// NM_001190163 /// NM_031511
1367572_at	myosin, light chain 3, alkali; ventricular, skeletal, slow	Myl3	24585	NM_012606
1367573_at	ribosomal protein S6	Rps6	29304	NM_017160
1367574_at	vimentin	Vim	81818	NM_031140
1367575_at	enolase 1, (alpha)	Eno1	24333	NM_001109908 /// NM_012554
1367576_at	glutathione peroxidase 1	Gpx1	24404	NM_030826
1367577_at	heat shock protein 1	Hspb1	24471	NM_031970
1367578_at	peroxiredoxin 2	Prdx2	29338	NM_017169
10306070517696_ a/_/a tn u c l e o t i d e   b i n d i n g   / /   i n f e r r e d   f r o m   e l e c t r o n i c   a n n o t a t i o n   / / /   0 0 0 3 9 2 4   / /   G T P a s e   a c t i v i t y   / /   i n f e r r e d   f r o m   e l e c t r o n i c   a n n o t a t i o n   / / /   0 0 0 5 1 9 8   / /   s t r u c t u r a l   m o l e c u l e   a c t i v i t y   / /   i n f e r r e d   f r o m   e l e c t r o n i c   a n n o t a t i o n   / / /   0 0 0 5 5 1 5   / /   p r o t e i n   b i n d i n g   / /   i n f e r r e d   f r o m   e l e c t r o n i c   a n n o t a t i o n   / / /   0 0 0 5 5 1 5   / /   p r o t e i n   b i n d i n g   / /   n o t   r e c o r d e d   / / /   0 0 0 5 5 2 5   / /   G T P   b i n d i n g   / /   i n f e r r e d   f r o m   e l e c t r o n i c   a n n o t a t i o n   / / /   0 0 1 9 9 0 4   / /   p r o t e i n   d o m a i n   s p e c i f i c   b i n d i n g   / /   i n f e r r e d   f r o m   d i r e c t   a s s a y   / / /   0 0 4 6 9 8 2   / /   p r o t e i n   h e t e r o d i m e r i z a t i o n   a c t i v i t y   / /   t r a c e a b l e   a u t h o r   s t a t e m e n t	tubulin, alpha 1A /// tubulin, alpha 1B /// tubulin, alpha 1C	Tuba1a /// Tuba1b /// Tuba1c	300218	/// 500929 /// 64158
1367580_at	ribosomal protein L10A	Rpl10a	81729	NM_031065
1367581_a_at	secreted phosphoprotein 1	Spp1	25353	NM_012881
1367582_at	ribosomal protein L29	Rpl29	29283	NM_017150
1367583_at	tumor protein, translationally-controlled 1	Tpt1	116646	NM_053867
1367584_at	annexin A2	Anxa2	56611	NM_019905
1367585_a_at	ATPase, Na+/K+ transporting, alpha 1 polypeptide	Atp1a1	24211	NM_012504
1367586_at	lactate dehydrogenase A	Ldha	24533	NM_017025
1367587_at	prolactin family 3, subfamily d, member 4	Prl3d4	24282	NM_033233
1367588_a_at	ribosomal protein L13A	Rpl13a	317646	NM_173340
1367589_at	aconitase 2, mitochondrial	Aco2	79250	NM_024398
1367590_at	RAN, member RAS oncogene family	Ran	84509	NM_053439
1367591_at	peroxiredoxin 3	Prdx3	64371	NM_022540
1367592_at	troponin T type 2 (cardiac)	Tnnt2	24837	NM_012676
1367593_at	selenoprotein W, 1	Sepw1	25545	NM_013027
1367594_at	biglycan	Bgn	25181	NM_017087
1367595_s_at	beta-2 microglobulin	B2m	24223	NM_012512
1367596_at	ribosomal protein S26	Rps26	27139	NM_013224
1367597_at	ribosomal protein S8	Rps8	65136	NM_031706
1367598_at	transthyretin	Ttr	24856	NM_012681
1367599_at	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C1 (subunit 9)	Atp5g1	29754	NM_017311
1367600_at	desmin	Des	64362	NM_022531
1367601_at	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2	Cited2	114490	NM_053698
1367602_at	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2	Cited2	114490	NM_053698
1367603_at	triosephosphate isomerase 1	Tpi1	24849	NM_022922
1367604_at	cysteine-rich protein 2	Crip2	338401	NM_022501
1367605_at	profilin 1	Pfn1	64303	NM_022511
1367606_at	ribosomal protein S3a	Rps3a	29288	NM_017153
1367607_at	cytochrome c oxidase subunit IV isoform 1	Cox4i1	29445	NM_017202
1367608_at	crystallin, beta A4	Cryba4	64348	NM_031689
1367609_at	macrophage migration inhibitory factor	Mif	81683	NM_031051
1367610_at	ribosomal protein L19	Rpl19	81767	NM_031103
1367611_at	transketolase	Tkt	64524	NM_022592
1367612_at	microsomal glutathione S-transferase 1	Mgst1	171341	NM_134349
1367613_at	peroxiredoxin 1	Prdx1	117254	NM_057114
1367614_at	annexin A1	Anxa1	25380	NM_012904
1367615_at	seminal vesicle secretory protein 5	Svs5	171027	NM_133516
1367616_at	natriuretic peptide precursor B	Nppb	25105	NM_031545
1367617_at	aldolase A, fructose-bisphosphate	Aldoa	24189	NM_001177305 /// NM_012495
1367618_a_at	guanine nucleotide binding protein (G protein), beta polypeptide 2 like 1	Gnb2l1	83427	NM_130734
1367619_at	progesterone receptor membrane component 1	Pgrmc1	291948	NM_021766
1367620_at	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C3 (subunit 9)	Atp5g3	114630	NM_053756
1367621_at	death-associated protein kinase 3	Dapk3	64391	NM_022546
1367622_at	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit d	Atp5h	641434	NM_019383
1367623_at	ribosomal protein L18	Rpl18	81766	NM_031102
1367624_at	activating transcription factor 4 (tax-responsive enhancer element B67)	Atf4	79255	NM_024403
1367625_at	ribosomal protein L10	Rpl10	81764	NM_031100
1367626_at	creatine kinase, muscle	Ckm	24265	NM_012530
1367627_at	glycine amidinotransferase (L-arginine:glycine amidinotransferase)	Gatm	81660	NM_031031
1367628_at	lectin, galactoside-binding, soluble, 1	Lgals1	56646	NM_019904
1367629_at	cytochrome c oxidase subunit VIIa polypeptide 2	Cox7a2	29507	NM_022503
1367630_at	ribosomal protein S11	Rps11	81774	NM_031110
1367631_at	connective tissue growth factor	Ctgf	64032	NM_022266
1367632_at	glutamate-ammonia ligase (glutamine synthetase)	Glul	24957	NM_017073
1367633_at	glutamate-ammonia ligase (glutamine synthetase)	Glul	24957	NM_017073
1367634_at	ribosomal protein L31	Rpl31	64298	NM_022506
1367635_at	prolyl 4-hydroxylase, beta polypeptide	P4hb	25506	NM_012998
1367636_at	insulin-like growth factor 2 receptor	Igf2r	25151	NM_012756
1367637_a_at	protein phosphatase 1, catalytic subunit, gamma isoform	Ppp1cc	24669	NM_022498
1367638_at	malonyl-CoA decarboxylase	Mlycd	85239	NM_053477
10306073673293_ a/_/a tR N A   b i n d i n g   / /   i n f e r r e d   f r o m   e l e c t r o n i c   a n n o t a t i o n   / / /   0 0 0 3 7 3 5   / /   s t r u c t u r a l   c o n s t i t u e n t   o f   r i b o s o m e   / /   i n f e r r e d   f r o m   e l e c t r o n i c   a n n o t a t i o n   / / /   0 0 0 3 7 3 5   / /   s t r u c t u r a l   c o n s t i t u e n t   o f   r i b o s o m e   / /   i n f e r r e d   f r o m   m u t a n t   p h e n o t y p e   / / /   0 0 0 3 7 3 5   / /   s t r u c t u r a l   c o n s t i t u e n t   o f   r i b o s o m e   / /   n o t   r e c o r d e d   / / /   0 0 0 5 5 1 5   / /   p r o t e i n   b i n d i n g   / /   n o t   r e c o r d e d   / / /   0 0 3 2 4 0 3   / /   p r o t e i n   c o m p l e x   b i n d i n g   / /   i n f e r r e d   f r o m   m u t a n t   p h e n o t y p e   / / /   0 0 4 8 6 0 2   / /   f i b r o b l a s t   g r o w t h   f a c t o r   1   b i n d i n g   / /   n o t   r e c o r d e d   / / /   0 0 4 8 6 0 4   / /   f i b r o b l a s t   g r o w t h   f a c t o r   3   b i n d i n g   / /   n o t   r e c o r d e d	ribosomal protein S2-like /// ribosomal protein S2	LOC100360710 /// Rps2	100360710	/// 83789
1367640_at	ribosomal protein S12	Rps12	65139	NM_031709
			NaN	
1367642_at	succinate-CoA ligase, alpha subunit	Suclg1	114597	NM_053752
1367643_at	basigin	Bsg	25246	NM_001109882 /// NM_012783
1367644_at	adenylate cyclase 6	Adcy6	25289	NM_012821
1367645_at	ribosomal protein S17	Rps17	29286	NM_017152
1367646_at	cathepsin B	Ctsb	64529	NM_022597
1367647_at	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1	Serpina1	24648	NM_022519
1367648_at	insulin-like growth factor binding protein 2	Igfbp2	25662	NM_013122
1367649_at	paralemmin	Palm	170673	NM_130829
1367650_at	tubulointerstitial nephritis antigen-like 1	Tinagl1	94174	NM_053582
1367651_at	cathepsin D	Ctsd	171293	NM_134334
1367652_at	insulin-like growth factor binding protein 3	Igfbp3	24484	NM_012588
1367653_a_at	malate dehydrogenase 1, NAD (soluble)	Mdh1	24551	NM_033235
1367654_at	FAT tumor suppressor homolog 1 (Drosophila)	Fat1	83720	NM_031819
1367655_at	thymosin, beta 10	Tmsb10	50665	NM_021261
1367656_at	proteasome (prosome, macropain) subunit, beta type 7	Psmb7	85492	NM_053532
1367657_at	B-cell translocation gene 1, anti-proliferative	Btg1	29618	NM_017258
1367658_at	SH3 and multiple ankyrin repeat domains 3	Shank3	59312	NM_021676
1367659_s_at	dodecenoyl-Coenzyme A delta isomerase (3,2 trans-enoyl-Coenzyme A isomerase)	Dci	29740	NM_017306
1367660_at	fatty acid binding protein 3, muscle and heart	Fabp3	79131	NM_024162
1367661_at	S100 calcium binding protein A6	S100a6	85247	NM_053485
1367662_at	hydroxysteroid (17-beta) dehydrogenase 10	Hsd17b10	63864	NM_031682
1367663_at	proteasome (prosome, macropain) activator subunit 1	Psme1	29630	NM_017264
1367664_at	ankyrin repeat domain 1 (cardiac muscle)	Ankrd1	27064	NM_013220
1367665_at	ankyrin repeat domain 1 (cardiac muscle)	Ankrd1	27064	NM_013220
1367666_at	heterogeneous nuclear ribonucleoprotein H1	Hnrph1	140931	NM_080896
1367667_at	farnesyl diphosphate synthase (farnesyl pyrophosphate synthetase, dimethylallyltranstransferase, geranyltranstransferase)	Fdps	83791	NM_031840
1367668_a_at	stearoyl-CoA desaturase (delta-9-desaturase)	Scd	83792	NM_031841
1367669_a_at	microtubule-associated protein 1 light chain 3 beta	Map1lc3b	64862	NM_022867
1367670_at	fumarate hydratase 1	Fh1	24368	NM_017005
1367671_at	proliferating cell nuclear antigen	Pcna	25737	NM_022381
1367672_at	hydroxysteroid (17-beta) dehydrogenase 4	Hsd17b4	79244	NM_024392
1367673_at	selenium binding protein 1	Selenbp1	140927	NM_080892
1367674_at	phosphatidylinositol transfer protein, beta	Pitpnb	114561	NM_053742
1367675_at	calcium and integrin binding 1 (calmyrin)	Cib1	81823	NM_031145
1367676_at	high mobility group box 2	Hmgb2	29395	NM_017187
1367677_at	peroxiredoxin 5	Prdx5	113898	NM_053610
1367678_at	succinate dehydrogenase complex, subunit A, flavoprotein (Fp)	Sdha	157074	NM_130428
			NaN	
1367680_at	acyl-Coenzyme A oxidase 1, palmitoyl	Acox1	50681	NM_017340
1367681_at	CD151 molecule (Raph blood group)	Cd151	64315	NM_022523
1367682_at	midkine	Mdk	81517	NM_030859
1367683_at	karyopherin alpha 2	Kpna2	85245	NM_053483
1367684_at	crystallin, beta B2	Crybb2	25422	NM_012937
1367685_at	ribosomal protein S27a	Rps27a	81777	NM_031113
1367686_at	stress-associated endoplasmic reticulum protein 1	Serp1	80881	NM_030835
1367687_a_at	peptidylglycine alpha-amidating monooxygenase	Pam	25508	NM_013000
1367688_at	secretory carrier membrane protein 4	Scamp4	65170	NM_031725
1367689_a_at	CD36 molecule (thrombospondin receptor)	Cd36	29184	NM_031561
1367690_at	signal sequence receptor, delta	Ssr4	29435	NM_017199
1367691_at	protein kinase C, delta binding protein	Prkcdbp	85332	NM_134449
1367692_at	spermine binding protein	Sbp	25540	NM_013024
1367693_at	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide	Ywhah	25576	NM_013052
1367694_at	hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase (trifunctional protein), beta subunit	Hadhb	171155	NM_133618
1367695_at	quinoid dihydropteridine reductase	Qdpr	64192	NM_022390
1367696_at	interferon induced transmembrane protein 2	Ifitm2	114709	NM_030833
1367697_at	mitogen activated protein kinase 14	Mapk14	81649	NM_031020
1367698_a_at	septin 9	Sept9	83788	NM_001113497 /// NM_031837 /// NM_176856
1367699_at	SH3-domain GRB2-like 1	Sh3gl1	81922	NM_031239
1367700_at	fibromodulin	Fmod	64507	NM_080698
1367701_at	receptor (G protein-coupled) activity modifying protein 2	Ramp2	58966	NM_031646
1367702_at	acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain	Acadm	24158	NM_016986
1367703_at	crystallin, gamma D	Crygd	24278	NM_033095
1367704_at	adaptor-related protein complex 2, beta 1 subunit	Ap2b1	140670	NM_080583
1367705_at	glutaredoxin 1	Glrx1	64045	NM_022278
1367706_at	voltage-dependent anion channel 1	Vdac1	83529	NM_031353
1367707_at	fatty acid synthase	Fasn	50671	NM_017332
1367708_a_at	fatty acid synthase	Fasn	50671	NM_017332
1367709_at	Cd63 molecule	Cd63	29186	NM_017125
1367710_at	proteasome (prosome, macropain) activator subunit 2	Psme2	29614	NM_017257
1367711_at	proteasome (prosome, macropain) 26S subunit, ATPase 2	Psmc2	25581	NM_033236
1367712_at	TIMP metallopeptidase inhibitor 1	Timp1	116510	NM_053819
1367713_at	eukaryotic translation initiation factor 2, subunit 1 alpha	Eif2s1	54318	NM_019356
1367714_at	eukaryotic translation initiation factor 2B, subunit 2 beta	Eif2b2	84005	NM_032058
1367715_at	tumor necrosis factor receptor superfamily, member 1a	Tnfrsf1a	25625	NM_013091
1367716_at	integrin alpha FG-GAP repeat containing 1	Itfg1	171083	NM_133557
1367717_at	ribosomal protein S27	Rps27	94266	NM_053597
1367718_at	choline kinase beta	Chkb	29367	NM_017177
1367719_at	ubiquitin protein ligase E3 component n-recognin 5	Ubr5	117060	NM_001191990 /// XM_001061308 /// XM_576252
1367720_at	aminolevulinate, delta-, dehydratase	Alad	25374	NM_012899
1367721_at	syndecan 4	Sdc4	24771	NM_012649
1367722_at	dipeptidylpeptidase 7	Dpp7	83799	NM_031973
1367723_a_at	SH2B adaptor protein 3	Sh2b3	58838	NM_031621
1367724_a_at	ATPase, H+ transporting, lysosomal 9kDa, V0 subunit e1	Atp6v0e1	94170	NM_053578
1367725_at	pim-3 oncogene	Pim3	64534	NM_022602
			NaN	
1367727_at	cytohesin 2	Cyth2	116692	NM_053911
1367728_at	translin	Tsn	60381	NM_021762
1367729_at	ornithine aminotransferase (gyrate atrophy)	Oat	64313	NM_022521
1367730_at	USO1 homolog, vesicle docking protein (yeast)	Uso1	56042	NM_019379
1367731_at	guanine nucleotide binding protein (G protein), beta polypeptide 1	Gnb1	24400	NM_030987
1367732_at	guanine nucleotide binding protein (G protein), beta polypeptide 1	Gnb1	24400	NM_030987
1367733_at	carbonic anhydrase II	Car2	54231	NM_019291
1367734_at	aldo-keto reductase family 1, member B1 (aldose reductase)	Akr1b1	24192	NM_012498
1367735_at	acyl-Coenzyme A dehydrogenase, long-chain	Acadl	25287	NM_012819
1367736_at	Ras-related GTP binding A	Rraga	117044	NM_053973
1367737_at	fucosidase, alpha-L- 1, tissue	Fuca1	24375	NM_012562
1367738_at	UNC-119 homolog (C. elegans)	Unc119	29402	NM_017188
1367739_at	cytochrome c oxidase, subunit VIIIb	Cox8b	25250	NM_012786
1367740_at	creatine kinase, brain	Ckb	24264	NM_012529
1367741_at	homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1	Herpud1	85430	NM_053523
1367742_at	carnitine palmitoyltransferase 1b, muscle	Cpt1b	25756	NM_013200
1367743_at	phosphofructokinase, liver	Pfkl	25741	NM_013190
1367744_at	melanoma antigen, family D, 2	Maged2	113947	NM_080479
1367745_at	diacylglycerol kinase zeta	Dgkz	81821	NM_031143
1367746_a_at	flotillin 2	Flot2	83764	NM_031830
1367747_at	ADP-ribosylation factor-like 3	Arl3	64664	NM_022700
1367748_at	ADP-ribosylation factor 5	Arf5	79117	NM_024149
1367749_at	lumican	Lum	81682	NM_031050
1367750_at	phosphoribosyl pyrophosphate synthetase-associated protein 1	Prpsap1	64390	NM_022545
1367751_at	dolichyl-phosphate mannosyltransferase polypeptide 2, regulatory subunit	Dpm2	29640	NM_019252
1367752_at	breast cancer anti-estrogen resistance 1	Bcar1	25414	NM_012931
1367753_at	SEC31 homolog A (S. cerevisiae)	Sec31a	93646	NM_033021
1367754_s_at	argininosuccinate lyase	Asl	59085	NM_021577
1367755_at	cysteine dioxygenase, type I	Cdo1	81718	NM_052809
1367756_at	G elongation factor, mitochondrial 1	Gfm1	114017	NM_053625
1367757_at	cytochrome c oxidase, subunit VIc	Cox6c	54322	NM_019360
1367758_at	alpha-fetoprotein	Afp	24177	NM_012493
1367759_at	H1 histone family, member 0	H1f0	24437	NM_012578
1367760_at	mitogen activated protein kinase kinase 1	Map2k1	170851	NM_031643
1367761_at	nuclear distribution gene E-like homolog 1 (A. nidulans)	Ndel1	170845	NM_133320
1367762_at	somatostatin	Sst	24797	NM_012659
1367763_at	acetyl-coenzyme A acetyltransferase 1	Acat1	25014	NM_017075
