	GSM495209	GSM495210	GSM495211	GSM495212	GSM495213	GSM495214	GSM495215	GSM495216	GSM495217
1367527_at	8.220550711	8.233223437	8.084565985	7.668413391	7.685363013	7.831681992	7.51980666	7.527411193	7.601223595
1367528_at	8.299118904	8.428467566	8.438939794	8.051459776	7.987245614	8.052489892	8.53529591	8.5931856	8.572676444
1367529_at	8.717127532	8.790670147	8.643652947	7.927953829	8.004768746	7.976664851	8.14913013	8.128731517	8.142830143
1367530_at	8.278026463	8.13701872	8.375719761	9.137041575	9.132965662	9.167892003	8.531474249	8.415089186	8.355883511
1367531_at	9.64754516	9.72745621	9.679286447	10.36415891	10.36849228	10.32882022	10.27275308	10.24936892	10.20455938
1367532_at	10.58776137	10.66915971	10.60330105	10.44080025	10.57214003	10.51865859	11.33825623	11.3582776	11.36693498
1367533_at	8.824297818	8.706277186	8.640860285	9.469348953	9.517409351	9.534424002	8.605746906	8.650452252	8.621834299
1367534_at	8.180839125	8.122228687	8.042501303	8.951093996	8.928795817	8.908003776	9.134102922	9.0960553	9.013813684
1367535_at	7.874826691	7.687236713	7.848711745	7.489578312	7.357672875	7.470155383	7.208633559	7.448108233	7.272287205
1367536_at	7.899984218	7.83418488	7.781307397	6.9066378	7.004575001	6.906476348	7.296446136	7.315991792	7.379777069
1367537_at	7.212267808	7.573240036	7.536191797	7.479611613	7.532743473	7.584759285	7.772103422	7.666369171	7.607913456
1367538_at	8.159472302	8.179858998	8.156477052	9.199297082	9.221138869	9.191591638	9.273593089	9.347003224	9.342335661
1367539_at	8.32340523	8.546789585	8.569939987	8.67045836	8.541007225	8.53572705	9.080172069	9.115652724	9.093507246
1367540_at	7.466149128	7.592393892	7.561040407	6.984466714	6.833365264	6.78777132	7.567923739	7.440256994	7.563362283
1367541_at	8.343039597	8.279532244	8.352837514	8.116675775	8.014935804	8.158724631	7.684718342	7.675307209	7.763065181
1367542_at	8.043668182	8.040850664	8.143296012	7.389092982	7.465606467	7.492972585	8.408291021	8.407462623	8.442937928
1367543_at	8.437100942	8.369345696	8.356198016	7.821225494	7.768865434	7.633714506	8.06007362	8.084257679	8.14212833
1367544_at	6.985537094	6.994583478	6.914264733	7.248340151	7.194381978	7.368331206	7.46205933	7.480215863	7.499575045
1367545_at	7.669435889	7.343315093	7.439296143	8.363610895	8.207781341	8.274083793	8.391469124	8.311810701	8.349771973
1367546_at	9.652544175	9.699727608	9.73895988	9.242125556	8.999356995	9.07653375	9.402431724	9.42235869	9.263347924
1367547_at	8.154224651	8.228318207	8.200095012	9.149536795	9.132789661	9.082914239	8.982717193	8.999041975	8.952305708
1367548_at	7.79851029	7.870078804	7.865929637	7.520461806	7.593617868	7.74612672	7.419359181	7.390895841	7.444538852
1367549_a_at	10.21775639	10.31398736	10.20128919	11.24264333	11.17608543	11.23730836	10.60400329	10.64090366	10.71366426
1367550_a_at	8.27393279	8.262998301	8.324950447	8.401612625	8.41241138	8.420909922	8.465127863	8.460201803	8.501681299
1367551_a_at	9.354918069	9.268197796	9.26099909	8.650021839	8.628224347	8.670992962	9.168365835	9.126410374	9.153784282
1367552_at	4.17776123	4.092462922	4.076239887	3.770386425	3.578114121	3.832062161	3.816834997	3.598355868	3.655142788
1367553_x_at	12.24103671	12.23616746	12.27292376	11.36455259	11.39937578	11.35404835	13.58213626	13.58202313	13.60303138
1367554_at	3.560198026	3.845542361	4.059453409	3.276287168	2.958366781	2.94798699	3.20050934	3.09579446	3.213879987
1367555_at	14.3852019	14.22237652	14.3155668	12.19896485	12.23374764	12.20237641	4.958530648	5.357129579	4.903160952
1367556_s_at	14.18801979	14.09263018	14.15749838	10.47136948	10.5566447	10.49322628	4.75621328	4.184752618	4.699276316
1367557_s_at	11.92786983	11.98495101	11.97343127	12.96048935	13.05155498	12.99397901	11.03309316	11.13728983	11.06790745
1367558_x_at	2.539953184	2.762937766	2.768445884	2.500565918	2.480880983	2.404734209	2.522788712	2.547287231	2.489801238
1367559_at	11.79368095	11.68065213	11.76399748	9.61058038	9.77966375	9.796053248	11.69021619	11.57757019	11.6344937
1367560_at	11.50347767	11.59441433	11.52659423	10.86037014	11.04197813	10.92752794	12.34450129	12.3440507	12.37532621
1367561_at	11.69462832	11.76871556	11.73022177	11.50648283	11.48216839	11.55682726	12.40283052	12.38925339	12.33328887
1367562_at	7.480517464	7.244455561	7.55066931	9.165644429	9.021275456	9.191445686	11.31504195	11.2766726	11.30127948
1367563_at	8.54786569	8.817032637	8.561313751	10.22589571	10.52518545	10.4177668	12.42042786	12.35719495	12.27109386
1367564_at	6.274683344	5.507297543	5.448794072	5.928634085	6.299133881	6.239430699	5.886321249	5.635160381	5.546199228
1367565_a_at	12.90128347	12.88359666	12.88524109	13.39637171	13.35229382	13.37557235	13.47661073	13.47731014	13.5305032
1367566_at	4.145151224	3.60728476	3.807693651	3.908969564	3.796642082	3.492928046	14.05920977	14.0458359	14.02624558
1367567_at	11.39302	11.40022604	11.44180253	11.46139457	11.56417824	11.53724241	11.99945332	12.05124801	11.99890164
1367568_a_at	8.385251311	8.458129427	8.282165374	7.978639115	8.02711045	8.054008638	12.90255985	12.77692664	12.92526977
1367569_at	11.10795446	11.05341879	11.11099154	10.73664914	10.73539667	10.77697056	11.75995486	11.73892766	11.76563517
1367570_at	6.398490983	6.669936977	6.538822953	7.084396104	7.257519756	7.454077003	11.22930438	11.23561294	11.20731376
1367571_a_at	4.684423449	5.729117943	4.947348362	8.615204972	8.50555729	8.556789773	5.601348657	4.967909995	5.232417463
1367572_at	5.227534351	5.283295873	5.405294764	3.981768908	4.157990988	4.088163748	5.536481154	5.358062277	5.470521439
1367573_at	12.03855432	12.07669997	12.06807673	12.10722136	12.17806091	12.10124909	12.74234696	12.73256659	12.75896896
1367574_at	7.573027909	7.66757286	7.725274093	8.701152173	8.75931226	8.781250747	11.80381076	11.78294491	11.9026722
1367575_at	10.81561683	10.76939279	10.73428441	11.11878749	11.23138154	11.17013954	9.722049917	9.70866069	9.699372978
1367576_at	13.21261797	13.23234089	13.24678694	9.599339981	9.7752049	9.736500919	12.19800836	12.16847161	12.19407589
1367577_at	7.219186296	7.345423668	7.329965877	6.95315404	7.143220055	7.08962756	10.9041597	10.914973	10.78836444
1367578_at	9.637954293	9.641337862	9.634610979	10.93599947	10.8957057	10.82413151	10.19530112	10.14702939	10.24045746
1367579_a_at	9.860084927	9.874416366	9.906105218	12.67976525	12.51118469	12.62832219	12.10588538	12.08940183	12.05484321
1367580_at	11.00457887	10.9297663	10.96192384	10.45572901	10.5985978	10.58417847	11.74709472	11.6831558	11.76828654
1367581_a_at	6.557465424	6.895501711	7.216922973	8.266181086	8.367380686	8.259367518	7.164211658	7.14176099	6.931806934
1367582_at	11.17652402	11.11012935	11.12895141	11.30939619	11.3155608	11.28835709	12.03473635	12.01699333	12.03667204
1367583_at	12.78207472	12.78799727	12.82006923	12.43104518	12.41825723	12.45105299	13.08732711	13.07217992	13.06169897
1367584_at	7.364844324	7.484274777	7.296404428	7.69926629	7.715168347	7.790942212	11.88636224	11.78494482	11.88795436
1367585_a_at	10.0748501	10.05508318	10.05614825	11.01502984	11.05083919	11.00360516	10.16676317	10.20701092	10.12818345
1367586_at	12.15195183	12.11689848	12.12985046	10.43605066	10.58433716	10.4910198	10.5928189	10.60388843	10.52596459
1367587_at	2.959791184	2.905256953	3.155878469	2.649071515	2.549913905	2.51214138	2.692746151	2.632429209	2.693327881
1367588_a_at	11.07423599	10.99688245	11.06109465	11.39637445	11.35508462	11.44478823	12.27626304	12.17460074	12.26717411
1367589_at	8.972757315	8.967265866	9.003137333	10.37156606	10.44499311	10.39616686	9.203850096	9.228869707	9.156272323
1367590_at	10.32441476	10.37545489	10.32643155	11.02443765	11.04011343	10.98436897	10.44791601	10.45912527	10.4291163
1367591_at	10.04308928	10.07353868	10.10857073	9.347761814	9.32462644	9.271506603	9.079649379	8.996596348	9.070637034
1367592_at	3.355134758	4.828165607	3.730618599	5.36248376	5.421138466	5.238717998	7.509498925	7.502322939	7.504595678
1367593_at	8.267225488	8.325493711	8.213741205	10.3889313	10.45545009	10.33850059	8.446249897	8.430114563	8.306342396
1367594_at	8.231059559	8.379448454	8.299246991	5.834598007	5.635838688	5.963365238	9.62351026	9.590274907	9.636775598
1367595_s_at	13.02170107	12.99641931	12.96665485	11.08160146	11.1427432	11.13258089	13.29362843	13.30376211	13.25647339
1367596_at	11.83718748	11.83566143	11.85405163	11.74044032	11.82154195	11.85515327	12.59938964	12.64777869	12.63679915
1367597_at	11.48192646	11.49968238	11.51459578	11.74449677	11.83453056	11.79272128	12.51917889	12.50892412	12.47682215
1367598_at	13.26750238	13.36157397	13.3530459	13.05668071	13.13401907	13.08050713	4.538571365	4.650688464	4.350073007
1367599_at	11.59360564	11.60079816	11.60895802	10.9679024	11.0858235	10.9713251	10.00088163	9.958317035	10.01641533
1367600_at	5.96251522	5.26354726	5.575721082	4.381963649	4.694699379	4.79086899	7.748250829	7.692035372	7.583621807
1367601_at	7.680023552	7.758822273	7.581011217	8.094316417	8.230926218	8.244908027	8.29013082	8.181518145	8.173193844
1367602_at	8.366511225	8.647429219	8.420321801	8.988229198	9.04096778	9.134944461	9.057267236	9.051893646	9.132514207
1367603_at	10.97525939	10.86205835	10.94220371	11.8571898	11.9749764	11.85616743	9.323312084	9.310973799	9.337410075
1367604_at	10.56993557	10.54706918	10.56998558	9.135261857	9.159575409	9.089444173	11.55713315	11.53895192	11.48140997
1367605_at	9.860206949	9.860339455	9.823146615	9.14871822	9.158118375	9.111672879	10.86115297	10.89313446	10.92760623
1367606_at	12.09127884	12.11987166	12.08221601	12.21941158	12.13733804	12.24420036	12.8704573	12.87423544	12.85914244
1367607_at	11.51056527	11.41601916	11.4523962	12.01625755	12.05136894	12.06949971	11.24792709	11.2648313	11.29937263
1367608_at	4.454029983	4.296580067	4.512533727	3.979963718	4.063915978	4.013267709	3.930001981	3.887849903	3.967617967
1367609_at	10.3610237	10.40361395	10.42765898	10.88943885	10.92437575	10.90862711	9.303363658	9.207483698	9.231630727
1367610_at	11.77034367	11.84616269	11.77479215	12.2611206	12.22768342	12.33418089	12.67060189	12.69565781	12.73525399
1367611_at	5.139777613	5.169676095	5.098870451	5.51283689	5.434348995	5.659969725	5.028556643	5.032738682	4.766104471
1367612_at	13.38472003	13.43844008	13.44391813	8.354519863	8.680951962	8.516815241	11.59752365	11.63252226	11.57989976
1367613_at	12.04500078	12.0409756	12.06550892	10.05887722	10.24648335	10.11819712	11.21838201	11.1810452	11.20068083
1367614_at	7.345449899	7.407540483	7.385621836	5.991059595	6.239885262	6.023031286	12.31651777	12.3472741	12.29662831
1367615_at	3.025462406	3.296197721	3.121333476	3.118004874	3.201850776	3.032742007	3.270278528	3.277070902	2.993750748
1367616_at	4.664692609	4.682807894	4.364058827	4.051555208	4.131399858	4.128801796	3.986628917	4.115408345	4.026943231
1367617_at	8.950099388	8.937204682	8.960475615	12.35573843	12.33476153	12.34181218	10.94163372	10.88775143	11.02571492
1367618_a_at	10.70867494	10.65710331	10.72843839	10.63360614	10.61089471	10.55151549	11.58111476	11.52786478	11.53447002
1367619_at	11.85621707	11.83908078	11.83837487	10.67751154	10.70836025	10.76440258	10.99333165	11.08868252	11.04938696
1367620_at	12.0078215	12.05927355	12.03162995	12.34752517	12.31386037	12.27565872	11.36803788	11.44645898	11.35971209
1367621_at	8.138899747	8.076547772	8.112829517	7.657193899	7.816070294	7.752369107	7.94932965	7.952218418	7.969033025
1367622_at	11.44435695	11.45643481	11.47427256	11.36150751	11.31984785	11.30468109	10.866423	10.91682317	10.86574054
1367623_at	11.35418919	11.45019038	11.32421059	10.99714524	10.96392216	11.01768948	12.1593582	12.09615309	12.03749925
1367624_at	10.19337264	10.21676158	10.09475951	10.07680504	10.18569632	10.09394884	10.52292867	10.37855337	10.42329228
1367625_at	12.34783935	12.40979175	12.31147629	11.85572549	11.85412647	11.84559683	12.83020757	12.80273069	12.74767157
1367626_at	6.21337507	6.401743655	6.496463069	4.247833633	3.915881325	4.286338287	6.712008614	6.951135709	6.863766617
1367627_at	7.312577482	7.334742921	7.320183579	9.804285195	9.811991537	9.85217096	8.259854463	8.179138503	8.202065476
1367628_at	6.172955156	6.348754437	6.276576134	7.916787078	8.038537267	7.990472036	10.46780147	10.36305191	10.32863462
1367629_at	11.84912494	11.85523773	11.85609249	12.28903154	12.38121695	12.33405443	11.56283217	11.56812374	11.52580917
1367630_at	11.81941655	11.75307461	11.78408339	12.27076338	12.26048664	12.24829473	12.81968524	12.8915151	12.9191563
1367631_at	6.225237232	6.281289123	6.230553379	7.715283254	7.69734246	7.916347789	10.23497835	10.26322981	10.31220054
1367632_at	10.60588904	10.48947483	10.54675473	11.45106158	11.42508518	11.49465445	9.236744703	9.225456448	9.390582381
1367633_at	10.09629939	10.12656089	9.999272031	10.46537484	10.70074641	10.49441029	8.44223531	8.473894062	8.397147663
1367634_at	11.81662354	11.84789233	11.84657707	12.4451783	12.29025256	12.37202881	12.79251393	12.77242146	12.85505897
1367635_at	11.63652006	11.79557304	11.64400847	8.861067014	9.02579298	8.911207541	10.72376402	10.83294364	10.70752814
1367636_at	7.570249633	7.681490609	7.779675451	6.902997075	6.948863743	6.980283692	8.832129315	8.77081394	8.828912626
1367637_a_at	10.35996069	10.32119776	10.36278831	11.35118032	11.38626475	11.41164917	11.2048415	11.19188117	11.22812189
1367638_at	9.204091905	9.255566371	9.173880362	7.103057236	6.996796845	6.839676943	7.08546633	7.069821092	7.119516037
1367639_a_at	11.98993051	11.8650605	11.95237915	11.28843127	11.34647518	11.52649344	12.35294772	12.37752451	12.36321037
1367640_at	11.80899997	11.72749076	11.69323807	11.53432624	11.55170294	11.55424685	12.75187531	12.75802332	12.71909227
1367641_at	12.60287976	12.63008811	12.60764466	11.47540004	11.49597488	11.41279132	11.27444086	11.24900375	11.29687998
1367642_at	10.67882703	10.62783408	10.66717126	10.08942658	10.02305554	10.0593535	9.563143315	9.518157057	9.548578791
1367643_at	10.57216625	10.58349841	10.50468395	10.96539354	11.06909373	10.94952411	11.11219205	11.08666656	11.15808206
1367644_at	7.863962678	7.882327218	7.977149545	6.944577509	7.030918339	6.99446702	7.780709007	7.789872298	7.690534197
1367645_at	12.0416598	12.02487597	11.97876856	12.15113041	12.20359667	12.14257383	13.00682207	13.03775148	12.96324221
1367646_at	10.9779864	10.97990858	10.96422184	10.96032079	11.12731202	11.02343188	11.58305422	11.50927149	11.48878674
1367647_at	13.46958387	13.46421407	13.47477449	6.786408255	6.795704776	6.576810685	6.931392424	7.066638034	6.885745009
1367648_at	8.167203061	8.147349745	7.988424619	8.607169796	8.578520747	8.601599078	7.390289958	7.328263975	7.489436529
1367649_at	5.907542769	6.161251067	6.117762234	7.333288847	7.058370472	7.046104644	6.192761893	6.392973348	6.147730397
1367650_at	6.347739065	6.405547861	6.403570686	4.985412472	4.591420533	4.709773355	7.29920729	7.245018253	7.275214749
1367651_at	9.533954416	9.527251369	9.45978058	9.340100728	9.44721072	9.459495167	10.98633344	10.92843848	10.84551372
1367652_at	9.039756407	9.153415718	9.032725288	5.100481243	5.582705884	5.390459389	7.785413027	7.654934409	7.666577024
1367653_a_at	11.91999007	11.96618421	11.92541965	12.68398137	12.6968016	12.65528677	10.49359776	10.45462501	10.53566774
1367654_at	8.960207813	9.163840461	8.956863437	9.351085664	9.289175636	9.313283734	9.990593573	10.02346356	9.978502308
1367655_at	7.393865834	7.131699481	7.277629582	8.837724349	8.97557777	9.006959536	9.690905262	9.691455496	9.728499831
1367656_at	9.999975309	9.98320642	9.967958925	9.9354835	9.990927066	9.896456028	9.469755206	9.444081977	9.392242477
1367657_at	11.45420762	11.53418542	11.43036624	10.96751968	10.93381408	10.87652221	12.09988997	12.19377725	12.11527941
1367658_at	6.414687121	6.168161853	6.45017537	8.416526121	8.434080487	8.435616736	8.151039904	8.175344293	8.245046636
1367659_s_at	10.65087018	10.74976963	10.72782683	7.49272507	7.480266074	7.520314116	8.970045674	8.892237142	8.896011339
1367660_at	6.120934903	6.245321734	5.987868833	8.476332368	8.581950741	8.43549578	6.561632653	6.535822327	6.554986795
1367661_at	5.84888721	6.171335382	5.974395693	5.424657181	5.475649443	5.585348379	12.492729	12.48953019	12.42469822
1367662_at	10.67727037	10.74781939	10.66251313	8.605103533	8.649458114	8.636636452	9.236744703	9.260923851	9.303078335
1367663_at	10.65393431	10.80770754	10.65517984	8.396889813	8.355889068	8.417874918	10.80134445	10.79713957	10.79775536
1367664_at	3.967805439	3.843955685	3.667887589	3.017457812	3.187509205	3.517618293	8.641783295	8.733970567	8.637328453
1367665_at	4.155642981	4.596233281	4.454524103	3.504627124	3.669706712	3.587524172	7.961427437	8.131639483	7.988140804
1367666_at	9.998122857	10.0323012	10.03326164	11.22349548	11.28466741	11.26771089	11.56525805	11.63616948	11.61345621
1367667_at	11.79173329	11.78704317	11.79021914	9.492224505	9.492788397	9.468335669	9.75224432	9.68601256	9.766088213
1367668_a_at	8.82966593	8.842283391	8.946364441	12.54027011	12.47278755	12.60897333	11.90241843	11.98829759	11.9550746
1367669_a_at	9.631894937	9.603271271	9.678374971	9.02869505	9.211462681	9.19056112	8.82250393	8.7434493	8.847600492
1367670_at	10.19248374	10.33201495	10.2130657	9.013877554	9.18416511	9.015768776	8.267621632	8.228448047	8.258689675
1367671_at	9.156680234	9.087995879	9.125113995	9.444772121	9.516757453	9.53705872	10.31275834	10.26768624	10.30777992
1367672_at	11.23819256	11.25596833	11.1748815	8.346689693	8.47649756	8.400174634	9.044203317	9.067154791	9.109898929
1367673_at	10.68493804	10.61769871	10.71476327	5.717667552	6.037068286	5.819986329	10.37651285	10.29889579	10.24560293
1367674_at	8.815845641	8.942669831	8.972782579	8.483206671	8.574324995	8.57026228	8.869804307	8.787267266	8.892316607
1367675_at	8.430825695	8.585685497	8.547294429	6.773777343	6.802384433	6.62647274	8.900325725	8.894697036	8.969273731
1367676_at	6.990414901	7.110394599	7.016769101	7.353861697	7.197807692	7.394335206	9.895742897	9.822564941	9.833953918
1367677_at	10.33423623	10.34732485	10.37555454	9.87689595	10.05595904	9.927241438	9.906138006	9.896561905	9.786995042
1367678_at	10.44313046	10.45762669	10.41683087	10.3172315	10.34522495	10.31440173	9.661511069	9.65388952	9.608091673
1367679_at	9.401297154	9.390879025	9.333771765	6.249649423	6.234212877	6.395919778	12.22800862	12.25856136	12.22452628
1367680_at	11.50584496	11.52935011	11.50142385	9.132396029	9.139456994	9.108033631	9.326948898	9.312773362	9.302916509
1367681_at	9.101638866	9.178610145	9.180523873	8.76222764	8.796457179	8.804934284	10.74641367	10.6720707	10.72625521
