	Liver	Brain	Lung
1367612_at	13.4223594133	8.517429022	11.6033152233
1367613_at	12.0504951	10.1411858967	11.2000360133
1367614_at	7.379537406	6.0846587143	12.32014006
1367615_at	3.1476645343	3.1175325523	3.180366726
1367616_at	4.5705197767	4.103918954	4.0429934977
1367617_at	8.949259895	12.3441040467	10.9517000233
1367618_a_at	10.6980722133	10.5986721133	11.54781652
1367619_at	11.8445575733	10.7167581233	11.0438003767
1367620_at	12.0329083333	12.3123480867	11.3914029833
1367621_at	8.1094256787	7.7418777667	7.9568603643
1367622_at	11.4583547733	11.3286788167	10.88299557
1367623_at	11.37619672	10.99291896	12.09767018
1367624_at	10.16829791	10.1188167333	10.44159144
1367625_at	12.35636913	11.8518162633	12.79353661
1367626_at	6.3705272647	4.1500177483	6.8423036467
1367627_at	7.3225013273	9.8228158973	8.2136861473
1367628_at	6.2660952423	7.981932127	10.386496
1367629_at	11.8534850533	12.33476764	11.5522550267
1367630_at	11.78552485	12.25984825	12.8767855467
1367631_at	6.2456932447	7.776324501	10.2701362333
1367632_at	10.5473728667	11.4569337367	9.2842611773
1367633_at	10.0740441037	10.5535105133	8.4377590117
1367634_at	11.83703098	12.3691532233	12.8066647867
1367635_at	11.6920338567	8.9326891783	10.7547452667
1367636_at	7.6771385643	6.94404817	8.810618627
1367637_a_at	10.3479822533	11.3830314133	11.20828152
1367638_at	9.211179546	6.9798436747	7.091601153
1367639_a_at	11.9357900533	11.3871332967	12.3645608667
1367640_at	11.7432429333	11.5467586767	12.7429969667
1367641_at	12.61353751	11.4613887467	11.27344153
1367642_at	10.6579441233	10.05727854	9.5432930543
1367643_at	10.5534495367	10.99467046	11.1189802233
1367644_at	7.907813147	6.9899876227	7.7537051673
1367645_at	12.0151014433	12.16576697	13.0026052533
1367646_at	10.97403894	11.0370215633	11.5270374833
1367647_at	13.4695241433	6.7196412387	6.961258489
1367648_at	8.100992475	8.595763207	7.4026634873
1367649_at	6.0621853567	7.145921321	6.244488546
1367650_at	6.385619204	4.76220212	7.273146764
1367651_at	9.506995455	9.415602205	10.9200952133
1367652_at	9.0752991377	5.357882172	7.7023081533
1367653_a_at	11.9371979767	12.6786899133	10.49463017
1367654_at	9.0269705703	9.3178483447	9.9975198137
1367655_at	7.2677316323	8.9400872183	9.7036201963
1367656_at	9.9837135513	9.9409555313	9.4353598867
1367657_at	11.47291976	10.92595199	12.1363155433
1367658_at	6.344341448	8.4287411147	8.1904769443
1367659_s_at	10.70948888	7.49776842	8.919431385
1367660_at	6.1180418233	8.4979262963	6.550813925
1367661_at	5.998206095	5.4952183343	12.4689858033
1367662_at	10.69586763	8.6303993663	9.2669156297
1367663_at	10.70560723	8.390217933	10.79874646
1367664_at	3.826549571	3.24086177	8.6710274383
1367665_at	4.402133455	3.5872860027	8.0270692413
1367666_at	10.0212285657	11.2586245933	11.6049612467
1367667_at	11.7896652	9.4844495237	9.7347816977
1367668_a_at	8.872771254	12.5406769967	11.9485968733
1367669_a_at	9.6378470597	9.1435729503	8.8045179073
1367670_at	10.2458547967	9.07127048	8.2515864513
1367671_at	9.1232633693	9.4995294313	10.2960748333
1367672_at	11.22301413	8.4077872957	9.0737523457
1367673_at	10.6724666733	5.8582407223	10.3070038567
1367674_at	8.9104326837	8.542597982	8.84979606
1367675_at	8.5212685403	6.7342115053	8.921432164
1367676_at	7.039192867	7.315334865	9.8507539187
1367677_at	10.3523718733	9.953365476	9.863231651
1367678_at	10.4391960067	10.3256193933	9.6411640873
1367679_at	9.3753159813	6.2932606927	12.2370320867
1367680_at	11.5122063067	9.1266288847	9.314212923
1367681_at	9.1535909613	8.7878730343	10.7149131933
1367682_at	6.5815561843	8.232603089	7.3211268913
1367683_at	9.3287591077	6.8831110843	8.3264853847
1367684_at	3.3798442187	2.867443952	2.9473833573
1367685_at	11.6638230433	11.9778868267	12.33325497
1367686_at	11.28699945	9.7701893717	10.6715660567
1367687_a_at	8.553840007	9.4945156887	10.07157175
1367688_at	7.6087871177	6.8482930477	7.2526399567
1367689_a_at	11.2177597367	3.6046475063	10.2043431433
1367690_at	10.4300113467	8.8807889497	9.8606028723
1367691_at	10.6275826667	8.0479262893	10.0853626
1367692_at	3.1043655227	2.8869663547	2.906184475
1367693_at	9.357766078	12.7805150267	10.5751688233
1367694_at	10.72864015	9.714791857	10.1025945533
1367695_at	11.2363112633	11.2426858	8.0463566207
1367696_at	7.9257406733	6.786553567	10.3388265667
1367697_at	9.619566526	8.2984222483	9.030235792
1367698_a_at	8.0088883867	7.0353504873	8.5189485713
1367699_at	6.5006735887	6.705492194	7.421884189
1367700_at	5.2855984103	6.73243919	8.74206112
1367701_at	6.529874922	7.5691119617	11.18113518
1367702_at	11.5942185433	8.0982076573	9.548622762
1367703_at	3.487030531	2.8440737677	2.907056315
1367704_at	8.1306857777	9.7286360963	9.0097810393
1367705_at	8.869844099	8.4899233273	7.7536233197
1367706_at	10.28558154	10.74441145	9.346881061
1367707_at	8.7744664643	6.877469053	8.7321893023
1367708_a_at	10.3618825433	9.1627260967	10.4020257633
1367709_at	9.9340246177	9.8370866527	10.96705211
1367710_at	9.7648159067	7.889734602	9.5305792777
1367711_at	10.84845319	11.1878831067	10.8042647467
1367712_at	6.1747415933	5.061578362	8.4230635583
1367713_at	9.025318492	8.8911799523	9.0730941267
1367714_at	7.1962970463	7.445136239	7.7404526293
1367715_at	9.1728421373	5.7900559063	8.892265448
1367716_at	8.2321526957	10.0820696633	8.280790473
1367717_at	11.7406082967	11.6070030167	12.6431752633
1367718_at	8.0973263753	7.6292897817	7.7568901237
1367719_at	9.3765096597	9.6934549263	9.7561284623
1367720_at	10.9244347867	7.351479958	8.8065543987
1367721_at	9.8056430927	8.3135887107	9.914955728
1367722_at	6.9216638327	8.0895536783	8.2290083333
1367723_a_at	7.7725538297	7.0189454887	9.2259399297
1367724_a_at	9.5088448363	8.1060508967	10.31563879
1367725_at	7.9232249037	7.391854807	7.6984949107
1367726_at	6.360805298	8.5177024927	7.4835826153
1367727_at	7.672820369	8.392923943	8.2752423123
1367728_at	7.6281425857	7.7902649193	7.5368728363
1367729_at	11.8864776267	9.374508586	10.09181615
1367730_at	9.8887568047	8.8795691547	8.9333177647
1367731_at	8.1188141703	9.982050047	9.8842963043
1367732_at	7.8319686773	8.263515234	9.509440316
1367733_at	8.4467375937	10.7645425033	9.6862144857
1367734_at	7.5803493787	9.1205288653	9.8465662667
1367735_at	11.09669352	7.6001956433	8.7006471253
1367736_at	9.4589981727	10.5153692633	9.7000985843
1367737_at	10.1426537133	8.7871590783	9.4476350567
1367738_at	6.5230721053	7.377066118	7.8511759877
1367739_at	6.1416523933	4.765938264	8.028023413
1367740_at	6.904512512	11.4346916267	8.5225803767
1367741_at	9.7460796767	8.0884037917	8.5628621293
1367742_at	5.2377749823	5.5724289713	5.2788825357
1367743_at	5.634758355	6.292778988	5.8355025463
1367744_at	6.551149247	7.9664479633	8.331203062
1367745_at	7.7406150663	9.049866064	7.8278029433
1367746_a_at	7.013978761	7.4415113893	8.0552172997
1367747_at	7.8920992433	10.0698537367	8.4447156097
1367748_at	8.8215122137	8.2267459987	8.0241718457
1367749_at	5.802729328	5.9466625773	8.533327098
1367750_at	8.4957898767	7.7819573237	8.0297826093
1367751_at	7.6873570107	7.566225974	7.0616572743
1367752_at	7.9836313933	7.215889853	7.466435227
1367753_at	7.005906336	5.7300819247	6.6207451067
1367754_s_at	10.55138576	5.9282326137	6.540329457
1367755_at	12.73998096	9.4514894557	9.822583943
1367756_at	9.121096119	7.457569966	7.173441467
1367757_at	11.71275228	12.1397244567	11.2528472967
1367758_at	7.9272043503	3.0850766937	3.36427051
1367759_at	7.666892612	8.4000270743	9.27021708
1367760_at	8.264125477	10.1108662	8.9776775363
1367761_at	7.5890093257	7.9741618333	7.5008930057
1367762_at	4.588459668	9.0741523923	4.073783802
1367763_at	10.6575422667	8.8052597993	9.4037776143
1367764_at	8.8731842183	9.6956645147	9.2611273887
1367765_at	9.7934716027	7.8132163073	9.612931435
1367766_at	10.0861217277	9.5609469763	9.3966481803
1367767_at	9.998956881	6.8347753063	7.6730059873
1367768_at	4.5345463603	8.5492237777	8.894592177
1367769_at	8.5421333473	9.2032923953	9.301219185
1367770_at	9.6558410107	9.9238587043	10.3666920267
1367771_at	8.9907574713	9.3446690897	9.6562874243
1367772_at	8.1512364413	8.9781185633	8.599197514
1367773_at	9.358440497	7.267695973	7.856182308
1367774_at	12.3341298167	9.7122414043	10.1819550933
1367775_at	11.77016093	8.0021590407	7.1481451693
1367776_at	3.6507692787	3.2488904243	6.2742106263
1367777_at	11.1201567567	8.129522045	8.685510033
1367778_at	7.558201082	4.936695993	6.1868667357
1367779_at	6.1626554073	9.0942311587	7.6572102697
1367780_at	5.1430148767	4.9073988187	6.05298171
1367781_at	3.248430235	2.8926307313	2.951214135
1367782_at	5.478017832	5.9111171967	7.3199238917
1367783_at	10.70621546	11.0672939633	10.3464484367
1367784_a_at	11.9670025767	11.9314318533	10.81037439
1367785_at	4.3436523457	3.7408690047	7.4636662557
1367786_at	10.16393464	4.7933345297	9.590609004
1367787_at	5.0788809727	7.4751160767	6.801127143
1367788_at	7.5048415307	7.5939079787	7.696128495
1367789_at	7.420526604	9.0362279067	7.679333849
1367790_at	9.104341081	7.88378841	8.6092650757
1367791_at	7.0951830687	8.2113898923	7.2561588193
1367792_at	3.3856799497	3.211076601	3.2088794637
1367793_at	12.0218683567	9.534611975	9.6911390503
1367794_at	7.3720241873	7.6425123287	4.2067405673
1367795_at	8.7313358573	8.2735111243	8.6835546193
1367796_at	8.148488998	5.9229225833	7.354146987
1367797_at	6.1707094253	5.7711759467	5.5263910417
1367798_at	11.2420235967	7.5777375693	7.7928178083
1367799_at	6.0796610593	10.50961129	5.337490792
1367800_at	5.9775837667	8.8538074037	9.3374591163
1367801_at	8.403794702	6.74472473	9.136380919
1367802_at	7.6666874977	9.7529059383	9.4473513357
1367803_at	7.066793099	6.9356053383	7.4004676897
1367804_at	12.2104967833	4.9010990327	3.9002400507
1367805_at	5.3343653723	10.0339392433	7.1976705123
1367806_at	4.5244511867	8.458105893	5.7638863293
1367807_at	8.7816567123	7.1511816497	8.2706195257
1367808_at	9.796078879	10.9547744233	9.4111171807
1367809_at	4.1145605083	3.663843234	3.5715072063
1367810_at	5.5320664093	7.4218282867	6.310636697
1367811_at	4.1354685503	8.2235394693	5.2434801497
1367812_at	6.345179056	9.3275143633	4.3404092457
1367813_at	6.8497455883	8.017083583	9.2643793457
1367814_at	8.96004165	12.72022977	9.6339317457
1367815_at	8.1929150087	8.0963222943	7.5762747077
1367816_at	5.445233951	9.1848893487	12.6776798033
1367817_at	7.9352062697	7.5557740767	8.2781671923
1367818_at	8.9385313687	8.2508256883	7.0081635287
1367819_at	11.1525519833	10.51043901	9.350939935
1367820_at	8.5700989137	8.469815751	8.7280351663
1367821_a_at	4.396230198	6.078221468	4.2775249093
1367822_at	3.51287377	3.398024039	3.3755593347
1367823_at	5.6013067013	7.0325737167	7.5750700503
1367824_at	8.9614491983	9.179094997	8.9398375913
1367825_at	6.1381729677	7.1506532247	7.2307945283
1367826_at	10.0176310713	7.5863741263	9.7853118957
1367827_at	9.2915107683	11.1562627267	10.81940614
1367828_at	8.8656277223	5.930340549	6.470746393
1367829_at	10.1838243067	7.771193295	8.0486633987
1367830_a_at	6.676710697	6.6087969473	6.4434351567
1367831_at	7.5384669237	5.914468131	7.6275953373
1367832_at	10.3237578033	8.268906827	9.3204432043
1367833_at	9.485754176	10.3537073467	8.9739179033
1367834_at	7.797305302	6.9212238163	6.5180589033
1367835_at	5.212511728	10.3871438133	5.647624809
1367836_at	8.7539850757	6.131324087	6.417694203
1367837_at	9.8946949283	9.267139109	9.361851347
1367838_at	12.3112167	5.4674233293	6.0804315963
1367839_at	10.0361754687	8.4175275343	7.5568211627
1367840_at	8.5826801427	9.1758532227	8.9883795053
1367841_a_at	2.961635196	2.8252979457	2.932108665
1367842_at	5.961491596	9.4768117003	6.7467701513
1367843_at	9.2953992783	6.6638791103	6.445427088
1367844_at	7.328920396	8.0924707197	9.3885189763
1367845_at	3.8106085893	11.1242345667	3.0682576877
1367846_at	6.297284328	5.803512339	11.2242772567
1367847_at	9.5556665663	5.7085966767	8.2979084943
1367848_at	7.189023555	10.20365026	8.779684827
1367849_at	9.3936642203	5.5491318223	9.511638682
1367850_at	7.536425736	6.4173116387	10.5364039733
1367851_at	3.9176710333	12.89955581	4.2485764423
1367852_s_at	5.6063368813	8.99726657	6.538746272
1367853_at	7.9301257257	10.5869264367	10.2039817667
1367854_at	10.56966706	9.6258805013	10.24479293
1367855_at	8.2503416067	6.2803854017	7.3340431373
1367856_at	7.6215559357	8.9919617787	9.109144175
1367857_at	10.9967011467	9.8924239907	10.1745535333
1367858_at	3.6545197097	3.6760118083	5.4904802627
1367859_at	4.8582593647	4.9489648577	6.8413551993
1367860_a_at	10.0076555793	7.422905722	9.3128513553
1367861_at	4.9440025473	9.2850744407	8.632732267
1367862_at	4.2203183057	4.2730534097	6.13042717
1367863_at	7.842631778	7.5129027177	7.382929111
1367864_at	5.2722140483	10.1628311167	6.6706509467
1367865_at	8.1039737013	8.762468324	8.3829942437
1367866_at	5.3877951863	4.5546638207	8.341158339
1367867_at	8.556893822	6.460628211	6.8134131577
1367868_at	6.63949598	5.7134666847	5.7113865067
1367869_at	9.4925609043	11.00460256	9.8792485097
1367870_at	10.042047049	10.3539093533	9.877623878
1367871_at	13.1724985267	6.3247217233	7.618814278
1367872_at	7.6533211343	7.9774908887	7.1428816867
1367873_at	9.0132094713	10.5702894267	9.694904618
1367874_at	6.6594653023	8.0243783223	7.787915917
1367875_at	8.4134281203	8.0076363113	8.2955654727
1367876_at	6.6439484023	7.7159930283	6.88591321
1367877_at	7.6180053123	7.689019547	7.618596877
1367878_at	8.6866775153	7.838371703	8.6226182023
1367879_at	7.355875654	6.4514582523	6.85412906
1367880_at	5.6485405393	6.5686363413	9.7827881863
1367881_at	7.3379864183	9.246352679	8.952281401
1367882_at	6.223413903	9.0069512537	5.8651120823
1367883_at	6.8836045673	6.9762156703	7.2373953253
1367884_at	9.565892607	9.7357148933	9.5271330977
1367885_at	11.5101633833	7.1981673527	6.0680756137
1367886_at	7.8595373453	6.9913433687	7.464718709
1367887_at	11.73816233	7.519592911	6.1270659347
1367888_at	3.6178029873	5.2844173033	4.190649425
1367889_at	8.1754955643	8.04685325	8.15915174
1367890_at	6.8673180613	7.0382079273	8.853401489
1367891_a_at	5.1359751137	4.890059678	6.3588987577
1367892_at	9.697156455	8.8946395563	7.007034896
1367893_a_at	7.2425552723	7.3190703593	7.3316388233
1367894_at	9.8192430727	8.1146017943	8.7976217217
1367895_at	10.2259570133	10.7836391	11.1651166533
1367896_at	11.67515389	5.785476209	9.3855177027
1367897_at	10.0718150233	7.6753548027	7.938668773
1367898_at	9.2988153297	10.3744250433	10.87499906
1367899_at	6.7816600223	8.1925656387	11.33144616
1367900_at	7.96564446	8.9821799207	10.5690468367
1367901_at	9.0024967843	6.3186845757	8.266939103
1367902_at	7.8803436437	7.2315585577	9.9736291457
1367903_at	8.9046049763	8.616680639	7.5604861513
1367904_at	9.0199595643	10.4081284467	3.702610653
1367905_at	10.4949920633	4.8167831503	8.5757758433
1367906_at	9.111453807	7.6845793233	7.7649258867
1367907_a_at	7.9773008107	8.92295076	8.028351671
1367908_at	11.2893943333	8.888600909	7.5469772703
1367909_at	10.2761789233	5.7938016533	6.7475163973
1367910_at	7.5088547257	6.6116247687	8.0968442747
1367911_at	6.8724833907	9.2391866723	7.3543451137
1367912_at	5.9824199023	4.5632841077	8.7720530743
1367913_at	6.1697121057	7.0967334923	6.842989756
1367914_at	6.4043976913	5.5276770647	8.986683246
1367915_at	8.559804606	7.553385231	7.4269794413
1367916_at	5.717468358	5.8958262583	6.827809643
1367917_at	12.81342344	5.139750075	3.5119685507
1367918_at	5.687269429	11.09649833	4.5938162813
1367919_at	5.7477581743	5.9192671443	7.4733095467
1367920_at	3.708747033	3.5275022097	4.9898704893
1367921_at	7.6904749503	7.6190349593	7.9200694713
1367922_at	7.6791179527	6.9846793513	9.9779264187
1367923_at	5.724754884	9.0777881683	5.270705831
1367924_at	6.638812294	7.399392868	7.228994223
1367925_at	7.8460258187	6.026379253	9.0231372783
1367926_at	8.0568991993	7.1399858597	7.0309098733
1367927_at	9.9098508997	9.230462332	8.9894070557
1367928_at	3.5192030093	2.7250039433	2.8915820113
1367929_at	9.9137129433	10.3692625633	11.83518089
1367930_at	3.6934305853	10.97109308	3.3660843563
1367931_a_at	8.6749107707	6.8116433373	9.31028032
1367932_at	11.91499663	10.8468060967	9.4304835073
1367933_at	8.8524936143	9.5845989527	8.1149938623
1367934_at	6.1708160543	5.889216777	6.688347828
1367935_at	8.5851063043	8.0692319747	8.6832246783
1367936_at	7.3723715483	6.085746356	8.7459746487
1367937_at	8.2085452273	4.514382561	4.189920012
1367938_at	10.6841573667	7.998557406	8.2980370687
1367939_at	11.2549488233	6.0247004223	8.6322843423
1367940_at	5.474417166	6.464389655	9.324464685
1367941_at	8.819979404	7.8766388223	8.0372678087
1367942_at	7.5954908463	4.105433183	8.467129831
1367943_at	7.241585754	6.4031892557	6.415245465
1367944_at	5.605957529	8.166086601	5.038193859
1367945_at	10.050036941	7.871434327	8.0828625617
1367946_at	8.2899418747	5.840190487	8.910061933
1367947_at	8.213370762	8.6833473593	8.432270283
1367948_a_at	9.981522032	7.0993024943	11.67755895
1367949_at	5.056068558	9.990220247	4.618439154
1367950_at	8.562277566	6.4539176527	7.4783987987
1367951_at	5.0809283927	3.980126972	5.6412933907
1367952_at	5.504168035	4.747970342	8.3214493407
1367953_at	3.5882912547	8.727249193	4.4928115353
1367954_at	5.3549787087	5.3550001857	4.5190331547
1367955_at	6.663650126	7.4412955337	6.838657717
1367956_at	4.5710811233	10.24511553	5.9410512947
1367957_at	8.6478370243	8.139324875	8.7252715567
1367958_at	8.321790659	9.2797538987	9.424483838
1367959_a_at	5.9665237347	8.6485892237	4.526423243
1367960_at	7.8863730293	7.8733015573	7.9517784133
1367961_at	4.0612391067	3.550449916	3.369364509
1367962_at	5.540501891	4.121870332	5.3487495687
1367963_at	6.8744821327	7.310775303	6.734628634
1367964_at	6.766779108	5.1956715157	7.3231088033
1367965_at	6.2379478947	6.601817851	6.260541441
1367966_at	8.6365094663	7.436861593	7.7429828407
1367967_at	6.7924207003	5.349946161	6.127352163
1367968_at	3.122717598	2.9231468373	3.3219863873
1367969_at	10.0509160733	9.3929004967	10.92446972
1367970_at	4.530764922	9.879996296	5.5101610207
1367971_at	9.5760216983	9.5370482463	10.74698841
1367972_at	9.397062348	9.3591912427	9.4574265057
1367973_at	4.1070110233	3.553040677	6.5436611987
1367974_at	8.231024432	8.1837097913	10.13859905
1367975_at	5.409329365	4.7174634447	6.2247487867
1367976_at	7.7061452437	7.7405307897	7.6805082733
1367977_at	4.297555257	10.5370943733	4.1903467197
1367978_at	5.5564597883	9.095548724	7.8021232723
1367979_s_at	11.29569138	9.762700896	8.730665325
1367980_at	7.9800217633	9.0836183217	7.8735649543
1367981_at	7.3288325227	8.2914537997	7.093894591
1367982_at	10.5187900567	7.81547223	8.6510365573
1367983_at	6.1063189823	6.3684800287	5.9792310123
1367984_at	5.5728849267	5.9275810483	5.4645844507
1367985_at	7.646259417	5.2178164523	8.3892330963
1367986_at	5.9948332527	6.4323945717	8.3745016843
