	Jurkat	IM-9	Raji	THP-1
207281_x_at	18.388868333	1295.6691022702	40.6300321854	59.9055176927
207339_s_at	126.7711308815	261.6249365513	4682.1123734319	142.3917226538
207341_at	21.2863537276	37.7344870554	69.3333634905	24270.0866588838
207397_s_at	1193.1078068141	5.4910955597	4.642898993	3.6384642989
207398_at	631.3269293454	6.9489807896	8.9942757305	7.6611238322
207469_s_at	5.3234458434	1585.9019580206	9.4873308895	1182.0725792708
207691_x_at	91.1581330185	5484.4307006639	75.8245115932	307.6673268347
207761_s_at	156.3764324151	112.3692099025	6140.0556189734	327.7950505121
207861_at	16.6666998513	2815.594197313	2819.2809379148	27.1222995348
207865_s_at	6.4559477257	48.4169398253	14.5707188019	2251.4140752504
208029_s_at	8023.5462501447	5.4184952422	53.3293986394	4176.4025631151
208461_at	4.6299605133	276.6096194561	4.818977502	3.1514730694
208524_at	121.0789778104	4787.9332708331	129.4618336899	381.1101182745
208683_at	119.3721773551	72.0751582617	77.8963058701	8724.098026655
208937_s_at	7536.522837224	174.617873544	29.4461570853	1375.5506270779
209031_at	580.67348578	6050.9786118734	18.5849742779	528.4016499865
209160_at	885.3116199109	68.1422162855	6.96298518	75.084988171
209185_s_at	376.9053642726	21.91366115	25.7584111638	4329.4652211493
209191_at	43.291166205	32.9243528272	595.241399784	8051.8979144358
209210_s_at	1210.8774644879	2659.2197801341	1.9134039335	115.6898808298
209213_at	4.6618974296	868.8860201977	6.0401107501	396.156741755
209301_at	6.5022469198	15.403315589	9.4976070604	24480.1838891074
209355_s_at	6.6850114449	352.0718384379	5.4646577699	10.0096316127
209374_s_at	20.3518413238	3148.5071358887	29602.456657314	720.5572164288
209395_at	9.6828598971	10.0623078294	17.5278480709	25978.492734314
209396_s_at	13.3588581427	19.5318642094	13.4102130449	25791.1372232616
209470_s_at	21.7818453902	1910.7786977324	217.0814031917	48.3189187716
209473_at	62.9170104213	6226.6579568598	220.1946518138	306.526742452
209474_s_at	13.1869262376	5430.3049542765	17.375007141	184.7948329511
209524_at	3129.3500857968	623.4229224085	4.7439193973	25.5511008061
209590_at	16.8619325608	67.4266559006	1131.8124244307	74.0617959727
209591_s_at	31.8755613322	17.0118777659	2771.0726067072	98.4729344564
209598_at	3711.1310417151	83.5766980484	55.1143368263	81.8175979272
209602_s_at	703.5130484431	4.3217847768	1.0834142622	3.7701485182
209604_s_at	6295.5016776871	146.2320920662	60.9855000919	148.2381047573
209616_s_at	6.7980465911	28.7384099868	17.1417170417	4593.2654767566
209619_at	14.9323730296	23175.399038388	28707.3344073403	2863.0829466174
209692_at	10.0124951581	527.9550783597	12.2853758591	18.0696295917
209728_at	7.9516643471	2952.8326412379	137.4568245092	8.2840192261
209729_at	1166.8393359204	26.4797152454	13.3206461112	179.5856628475
209757_s_at	793.0435831783	26.2047567378	18.3942649809	8.594880248
209763_at	3636.7964066612	84.0771771265	94.8493390621	46.6400029346
209803_s_at	6.3864687404	33.4720124209	5.4537054463	658.1225733677
209829_at	126.5792799682	126.6319175107	2775.2448072358	49.745984549
209881_s_at	3281.551119357	51.3737033487	99.5651246176	134.3732636703
209905_at	5.7880618643	4.418791879	7.614184601	1398.2221598058
209933_s_at	30.8188702836	2782.1179787884	36.3108249994	498.3032912323
209942_x_at	176.9217991513	19899.3313726879	38.3422294612	1465.9449414112
209987_s_at	7.5908249208	1161.0497821852	6.6336143793	82.1585681285
209988_s_at	49.6673052974	2918.6642969533	11.5526423703	182.0969973547
209995_s_at	23.2127224201	40.4355185946	8857.4485538922	49.9213623679
210031_at	2586.5637271267	39.2732261019	110.5956742259	106.2558336783
210103_s_at	18.7442820903	866.1737756185	20.8009524717	25.5060903339
210116_at	4169.2292359076	21.9441085444	63.1110513828	28.9755318704
210135_s_at	69.7291383298	120.0119571871	48.1549718637	5626.8591531743
210145_at	14.5461200771	1008.7359543731	6.3543117672	880.5075486808
210254_at	14.8904386379	28.5085911592	12.4293652247	9801.7906731041
210258_at	22.3975194363	1.7981094096	15101.9324531687	43.2864165757
210295_at	12.9893804197	4235.3420030407	17.6385654655	31.3732241363
210450_at	20.5674656342	29.6552570289	1249.209880621	42.7960336333
210467_x_at	407.652042741	8758.3180450193	52.5121955047	416.6296158151
210506_at	5.0892783226	5.2741020041	50.5867198383	944.4095749997
210546_x_at	4.9505083727	5065.2075821098	15.3193222941	30.0066117544
210643_at	17.4612822004	3425.1131783432	34.1766894329	149.6002729853
210783_x_at	247.8233912071	27.6820640813	107.3330759337	7705.1199011584
210830_s_at	6.7658971572	1895.6641303767	6.5477459131	826.9048091638
210942_s_at	8.4419333435	1532.570628174	3.1958939242	847.9585229013
210948_s_at	2366.5281441727	404.6559568706	15.2389298268	110.3455471231
210982_s_at	10.1811964055	20929.709517867	21208.1821171764	1535.8649053517
211005_at	3232.4797436258	24.4573447405	69.4724616171	277.3352580191
211102_s_at	4.242813029	6.615707834	10.907346402	496.9136247462
211153_s_at	16.3081858323	1457.9139567539	9.5482657073	61.4081695586
211209_x_at	815.8320318027	19.6674353707	36.148552819	17.975227532
211210_x_at	1892.6304614745	111.1901608163	131.4674985183	22.7681953677
211211_x_at	1446.9645800715	18.8304028066	20.3281163198	22.2332565135
211259_s_at	19.3612092897	41.8455388053	813.3915368064	63.8374404904
211372_s_at	20.6294948686	12.9312309199	936.4794458599	9.5340576766
211379_x_at	2.5405135214	2.228837241	6.9761017389	482.0239945329
211421_s_at	39.0410805472	34.2739285211	88.8146588662	4229.2640392492
211458_s_at	247.0181369682	9.9313800314	5.3978920047	8.0452005326
211478_s_at	6.5707858839	569.1080138165	4.7286179596	88.239126704
211603_s_at	15.1301821622	1027.0146581946	15.6022508831	46.6899777418
211633_x_at	14.0892196045	58.4078878976	528.0353117291	16.1345421347
211634_x_at	8.2139604128	44.8452162239	3311.8052202834	7.8776874144
211635_x_at	9.1439581077	27.3422612939	3526.2302346077	9.0107468202
211640_x_at	8.9566064158	7.8977269747	453.6371604631	10.8040572688
211643_x_at	21.5020197793	299.4490893705	1750.9039739959	62.9743584904
211644_x_at	12.0108940483	155.3052504411	29692.8510942173	112.5761592269
211674_x_at	6.7658971572	6237.5985363403	13.7481082274	74.2515324618
211795_s_at	4132.0923001845	93.2488080679	49.732844495	657.72663107
212012_at	2511.0567202328	52.8231866137	47.4744562727	71.1261289703
212013_at	1559.0899478117	22.1115419229	61.715377051	52.9244889718
212158_at	65.4483355265	2.8864852687	3.7795202712	2978.7288944394
212268_at	5.1978096833	5.859546687	16.7689289172	760.4902485371
212364_at	1768.0885987829	51.0761771801	17.3231633622	37.4860959625
212592_at	5.4760670921	3991.4871190129	18469.7404706239	837.6617524262
212624_s_at	1682.4475276869	27.0683652659	41.4011979863	23.2332042379
212636_at	7.6977072568	90.4236374229	38.3855851774	2312.7356677521
212671_s_at	12.1703620479	12352.7071368032	10971.4136091681	300.3842928774
212698_s_at	9.0205149177	4072.6134043984	13.3471032784	86.8996389586
212713_at	359.7287838971	13.2466280395	9.421672143	15.035777761
212776_s_at	11.2503442307	6.8031232361	13.1479494077	879.8893112636
212827_at	42.4992973755	3053.4573015229	18544.983789691	364.4115457528
212993_at	18.5090080207	2.7969677182	37.2657665927	1905.5104945641
212998_x_at	4.6175680078	5593.5798182627	5264.0970050452	287.7896167958
213095_x_at	7048.4775920213	16.075461366	36.8046536498	2819.2809379148
213293_s_at	30.9368879194	6672.9020750586	1027.2052150846	236.0601851988
213308_at	20.187237239	8.2913475126	572.9953347465	32.4727806154
213338_at	26.2760997995	8.8074616964	7.5066464676	788.2110715757
213355_at	11.4628475897	1368.7467928279	6.7108575399	796.6082410355
213423_x_at	1094.6236125494	144.6677018411	15.4376475068	15.7560047095
213456_at	2667.3756705345	27.4779060334	6.5194629167	11.9954224506
213539_at	18593.4846137383	54.6050167277	50.8117914594	39.6515390007
213668_s_at	3162.7490458484	104.0266091662	106.6998782353	54.8462281437
213802_at	24.5586104647	8.295117765	6.3001698974	1434.3619953297
213817_at	14.9163253328	1.6622318108	9.0601315306	2008.0206990515
213894_at	49.7362035149	49.8789187859	31.1957118903	2226.1707945246
213975_s_at	12.8253517872	8.9042127585	11.8319681027	8573.4167542369
214032_at	2619.6227258835	38.7780725422	8.574360721	29.5636433298
214039_s_at	15049.4802834722	6.3387659798	11.0542943676	8975.8243023228
214084_x_at	12.7274569407	198.6601819522	3915.1941012639	325.5526246725
214181_x_at	159.7606487062	30.3410719723	123.3059557152	4409.0960238801
214183_s_at	27250.4920240256	17.6439822085	15.8295980141	13.0221283522
214254_at	65.5797234796	11044.8127482753	64.3315812617	773.5498995473
214366_s_at	37.5520002825	16.5281347253	1331.5034385318	152.1998617856
214511_x_at	12.8189633205	15.6386749134	20.1993431558	6019.336384355
214575_s_at	12.9376716716	18.6341354061	25.0278676562	34222.6757627814
214603_at	162.3166301594	4319.1448453356	47.1000975426	222.5364753612
214612_x_at	253.2964834349	18959.2248385222	14.9497786114	1130.5301764678
214615_at	7.9079852547	1698.3816335847	207.4629990978	54.5418457655
214651_s_at	29.9414071429	25.8637577313	14.3175497858	2995.0717506818
214669_x_at	37.0682745892	5286.6492111363	23409.5479902383	1039.1359450891
214920_at	22.3990572738	35.9612570464	61.275060775	3211.8637205253
215051_x_at	8354.3776673282	14.5255941617	38.2265555094	4202.7046828655
215176_x_at	11.6264576854	2370.8626063322	23.8910481112	971.6424452905
215294_s_at	292.6830880348	4.1401664365	3.6384642989	2.3945967284
215443_at	343.2012165275	4.9621726109	2.2482627998	10.0623078294
215733_x_at	9.8380269089	2392.967275781	8.8720281315	17.7109795256
215784_at	362.5108794101	3.5935218539	6.6191817851	11.596221675
215990_s_at	20.2900943698	7.1589750128	2451.4742227065	86.3206548107
216015_s_at	7.2853397159	3.9696945608	6.0929832801	926.431281995
216191_s_at	68.7723071446	670.5994456827	8.9226940735	64.725846294
216370_s_at	27367.9736546396	73.761560587	116.8072928146	64.2623326498
216401_x_at	13.1513691453	885.5639007146	24.9984533148	17.3231633622
216541_x_at	13.7354186333	13.8760290494	747.7805691588	22.7250739047
216576_x_at	29.0351286824	2732.0965236561	108.6008033514	309.240104152
216667_at	19.7815012999	27.6416125351	29.7445665842	3415.8617934358
216834_at	7.6335116547	494.0328794677	1433.6051289367	50.8321944494
216905_s_at	6.5620916596	5.4571033007	1300.3945068064	1578.5715182818
216925_s_at	1233.9027652086	43.0936997663	28.6899714434	24.1520864896
216950_s_at	102.4356660075	60.1613976968	17.6120256787	5350.0562517199
217078_s_at	3.3215197675	933.4903648643	4.3248772734	59.3816072935
217147_s_at	926.2525131467	266.5907826912	4.7273292196	19.6598749403
217281_x_at	6.9615003706	10.4144262813	484.8850468286	7.1347672097
217339_x_at	16.6416543831	1467.6937787934	8.0524130982	29.8745135867
217489_s_at	6.96876993	9.2379245194	17.8466600575	1606.5712809771
217728_at	3.5192208719	170.0375409003	4.5359126615	13860.1029931274
217762_s_at	10.6888136663	64.0155934954	42.0664077346	3205.7269872684
217763_s_at	7.4743897551	24.0238308591	8.8983128355	2024.2278685225
217764_s_at	18.950779279	74.1465691733	18.1165940889	4330.416972675
217865_at	5469.2929517038	13.7266676111	16.8158597957	3381.2468978672
217963_s_at	12979.1136841288	47.3850743344	27.8996388558	11268.0298217347
217979_at	4561.3391034298	75.5524557016	135.0246895634	290.2646030154
218035_s_at	18.690336797	2762.1258988536	28.9970968632	794.6477930435
218066_at	4108.9861803092	91.5358934884	87.3554974527	191.7030723396
218656_s_at	82.1444858691	109.2834781131	1798.2214136635	12.9205900784
218717_s_at	11.9065703762	7474.7106407551	17.3255963456	28.0102445518
218730_s_at	760.3564002552	4.1835156072	5.291624169	5.9381839941
218824_at	784.275931757	13.1887292339	13.2569889124	27.2176680769
218922_s_at	6.1523102932	262.6192239433	568.1891755233	5.6443273675
218976_at	126.6638157157	683.6101461802	3344.4921068924	22.2308715944
218980_at	12.3264562195	1419.5351788129	242.648640354	12.6555715074
219024_at	776.8420756599	26.3819564298	20.5626347784	19.5557515407
219073_s_at	36.6382145394	43.1725451166	4454.9941580681	63.9028569963
219243_at	1598.7678357236	25.7328083838	11.7354805743	21.9018862483
219247_s_at	44.3460756851	93.9163987287	2914.819605532	266.1553034151
219274_at	7.1161581878	1349.488937478	5.6312563792	127.2625589442
219288_at	8.0309992053	279.6720397058	7.5649084246	2676.9330446375
219360_s_at	6.3341924274	7.9717293511	8.6245974537	697.1444512616
219424_at	8.4465527856	7843.9672475238	3283.9567131424	146.5545698353
219517_at	213.3889915039	1145.9266048034	8775.8416316903	158.8456980754
219518_s_at	96.1859186231	468.0497963579	5658.4554360828	127.3379176096
219528_s_at	4460.8762027489	326.7118824763	43.3990217839	70.4353436473
219532_at	1554.4716854095	6.5723985283	7.3050888332	5.900506557
219574_at	8.1026017531	13.6059466569	667.5961025006	31.2831935048
219607_s_at	2.4768641196	3.1607032877	8.4198962454	496.9931805218
219654_at	3701.5330013308	32.1637186107	44.3943361086	1208.7526624875
219659_at	649.9715271055	35.2267310167	37.5047081545	12.3667971631
219714_s_at	13.4892783816	4.4096803631	28.7516464164	2455.0926164176
219725_at	17.4433335959	33.2946479149	13.7715964667	3990.1691543067
219799_s_at	76.1083745136	86.5796380949	109.5287311479	9450.5147304479
219855_at	1924.2570087055	28.0130561147	32.5811475115	161.45061431
219937_at	9.8921199137	6.5180277933	8.1745876295	2076.8822968275
219945_at	2093.4294889163	55.6344464789	79.7329916703	62.4122409502
219985_at	8.0632799816	2015.0385549322	22.8169626224	75.9520935437
220057_at	15.7539917948	320.4793079142	31.5168106501	5336.0443858718
220059_at	17.2174177085	3004.4437730694	4868.309517554	100.5037922797
220068_at	100.6532144726	99.5360257474	6555.584262817	84.7618458909
220129_at	50.3607272839	2958.611240577	56.8026281105	153.5383150661
220132_s_at	40.8548995097	61.794611679	2715.2184194762	51.9397669388
220301_at	4.01643724	236.5477473207	4.4761070009	10.9041391587
220377_at	7.7919561749	12.5246586016	1126.920310604	8.5009300997
220416_at	57.3018210638	69.370014128	39.8924794228	2692.2977060377
220418_at	1105.4855851396	6.7578928047	7.5627025442	4.2816015306
220432_s_at	30.4077334699	2.5830045317	673.0396644764	21.9650071115
220448_at	47.013409939	7.9319637473	1313.736727071	10.5964294336
220474_at	14.3974861095	640.0143840246	24.8042833044	23.4973490002
220565_at	28.41483732	1811.6317213876	16.2940298901	39.924716533
221003_s_at	14.6086600724	13.990576428	377.5133883319	20.2827371605
221111_at	201.8114185572	16.4568741045	7.3951574128	3.2374008448
221558_s_at	9411.5369045966	2013.9584078734	9.8380269089	473.2147008962
221704_s_at	2080.2695291686	5.679412391	6.0593850347	597.3012937629
