	GSM279601	GSM279602	GSM279603	GSM279604	GSM279605	GSM279606	GSM279607	GSM279608	GSM279609	GSM279610	GSM279611	GSM279612
1556395_at	530.37	538.63	500.01	116.46	19.09	173.95	21.905	9.988	27.415	9.756	3.27	2.814	
1556598_at	258.65	249.16	210.09	60.683	41.426	82.1	20.622	4.161	4.687	1.278	2.505	0.791	
1556599_s_at	577.89	620.76	508.6	167.77	176.19	154.23	49.1	57.217	31.439	72.914	29.968	20.272	
1557177_at	119.83	98.787	132.65	188.52	195.46	218.87	81.748	59.763	85.263	229.44	226.74	177.88	
1557919_a_at	7785.7	7763	8326	4574.1	4918.9	4245.5	6652.6	6777	8013.5	7914.5	6790.3	7526.5	
1558826_at	33.507	33.565	6.389	135.27	78.632	115.79	12.027	24.158	3.865	22.753	63.203	42.057	
1558856_at	2494.2	2255.3	2056	1181.4	1299.9	1035.4	2244.8	1942.9	1842.9	2080.9	2088.6	1824.8	
1558971_at	498	521.84	415.93	151.86	70.959	223.37	57.384	63.682	58.536	52.305	34.855	5.166	
1558972_s_at	342.74	472.74	385.14	155.76	141.66	119.74	35.691	9.6	61.836	50.934	2.209	36.905	
1559827_at	489.91	383.7	455.33	278.91	358.6	225.19	438.59	475.07	434.89	392.29	500.18	448.28	
1562054_at	9.365	37.107	36.989	120.4	55.581	112.88	209.27	65.745	136.03	135.68	141.53	176.89	
1562484_at	403.56	442.83	361.22	179.17	204.45	188.63	363.9	287.79	319.06	309.53	410.47	347.33	
1565162_s_at	2975.6	2830.4	2666.8	2876.6	2421.6	2595.4	5103.2	5872.5	4883.1	4468	4251.1	3907.8	
1565627_a_at	513.62	594.08	595.43	744.61	922.55	986.93	469.27	624.26	426.23	723.91	725.95	789.41	
1568751_at	24.731	25.167	14.11	108.96	45.579	53.766	23.92	33.882	26.143	67.868	65.595	49.643	
1568752_s_at	1279.5	1429.8	1308.8	3842.8	3236.5	3790.3	858.15	1019.8	890.47	2051.4	2274.3	1926.5	
1569034_a_at	132.42	186.76	114.15	283.03	305.62	407.24	90.33	157.54	28.737	145.6	170.14	225.87	
1569040_s_at	173.36	165.04	156.05	393.23	367.69	383.35	79.36	90.937	87.747	130.36	266.38	266.29	
1569454_a_at	331.94	279.9	246.04	611.06	451.68	617.03	628.12	705.68	661.74	214.09	454.56	467.07	
1569886_a_at	732.88	655.72	582.93	236.12	205.09	185.06	145.91	179.02	211.06	107.98	171.23	171.09	
1569969_a_at	408.54	409.5	368.56	1335.2	1114.5	1278.2	2714.2	2752.6	2508.2	1529	1698.3	1348	
200660_at	5298.4	5284.3	5722.1	2108	2429.1	2072.4	4681.1	3440.6	4640.3	4833.5	4548.1	4572.3	
200907_s_at	388.26	294.14	404.08	453.88	485.25	687.27	159.22	105.49	164.74	308.28	444.81	281.76	
200951_s_at	182.99	236.59	208.88	475.15	384.37	364.03	1372.6	993.64	1237.7	674.03	595.82	565.58	
200953_s_at	1270.1	1281.5	1183.5	3889.2	2816.4	3020	6447.4	6253.4	7312.1	3722.6	5108.4	4073.1	
201058_s_at	497.56	529.89	397.23	297.31	284.68	216.23	501.42	475.11	502.45	530.92	584.66	398.52	
201105_at	14337	14324	16093	11064	13204	12693	21824	18917	19729	18481	14816	18186	
201117_s_at	144.84	117.5	137.95	92.216	32.556	66.309	133.57	177.64	131.27	144.44	149.47	143.59	
201131_s_at	8.763	105.77	103.45	374.79	317.74	243.77	165.76	129.14	186.22	175.05	130.9	93.278	
201137_s_at	5687.9	5504.7	5799.1	13230	13929	13467	7006.4	6942.6	6059.7	9228.2	9157.1	9143.2	
201162_at	2985.3	2793.8	2886.4	1227	1631.9	1377.4	2726.1	2919.4	2466.1	3125.8	2801	2535.3	
201163_s_at	4655.7	4939.2	4847.6	3140.5	2629.9	3143.3	4588.6	4833	4462.5	5082.8	5421.6	4872.4	
201169_s_at	131.24	145	81.024	237	208.75	259.47	288.45	295.04	355.75	192.91	243.61	204.01	
201215_at	1284	1303	1203.8	1616.4	1441.7	1507.8	3230.5	3442.5	3118.8	2243.5	2393.3	2306	
201313_at	1050.5	836.36	806.51	899.09	722.8	849.88	887.58	1076.8	981.77	386.62	602.63	476.57	
201387_s_at	3553.5	3495.1	3667.2	7862.9	8938.3	8796.4	5360	5157.8	5273.5	7133.4	6109.1	6460.7	
201416_at	2719.2	3130	2881.4	645.04	675.13	691.11	317.52	243.92	341.39	180.18	226.08	182.37	
201506_at	3103.4	3182.7	3435.5	1732	1838.4	1783.7	3314.8	2996.4	2847.6	3116.7	3062.8	3161.1	
201579_at	2056.4	2216.1	2253.9	901.4	929.8	1002.1	864.28	945.96	969.99	882.92	1080.4	976.32	
201670_s_at	1129.2	1113.2	1119.6	1468.2	1515.6	1438	3143.3	2767.2	3070.1	2107.6	2226.6	1886.7	
201909_at	16141	15992	17004	16208	16783	18455	16594	16783	15451	18479	16630	19372	
202007_at	3276.3	3675.8	3348.8	2694.9	2158.2	2500.4	3478.8	4062.6	3795.9	4047.4	4014.7	3867.1	
202177_at	521.59	357.08	588	232.88	278.45	179.23	417.53	369.21	447.61	462.79	489.1	430.16	
202178_at	299.1	305.36	423.85	574.54	608.11	599.43	303.27	244.3	333.07	329.93	514.33	427.51	
202207_at	824.45	813.34	942.73	307.97	241.08	270.35	118.45	82.674	180.87	112.41	61.789	140.93	
202242_at	3078.7	3136.7	3221.1	1056.9	981.94	863.87	380.25	323.19	338.17	154.36	173.86	91.83	
202283_at	2121.8	1920.8	2177.8	1359	1111	1111.9	1793.3	1807.5	1701.8	1909.1	1878.1	1875.3	
202615_at	4361	5120.7	4677.2	1928	2137.7	1874	1431.5	1627.6	1443.5	1597	1525.8	1638.7	
202620_s_at	346.3	348.84	261.04	618.94	588.92	538.74	754.22	913.64	746.67	610.78	671.84	569.6	
202718_at	2628.2	2256.6	3002.2	857.35	858.19	777.69	832.47	826.02	603.76	803.3	747.04	638.41	
202728_s_at	62.752	21.168	25.737	45.181	129.54	24.353	12.396	16.932	31.979	37.703	28.254	46.733	
202746_at	6979.7	7580.9	6769.4	3662.2	3033.7	3834.8	2628.8	2382.7	2170.7	1211.5	1477.8	1246.4	
202747_s_at	4027.7	3644.5	3760	1655.9	1778.9	2329.8	1826.9	1569.7	1249.2	1246	821.6	1275.8	
202888_s_at	1142.5	1073.6	1008.6	631.05	567.05	596.61	941.78	946.41	956.3	1041.4	1253	1039.9	
202897_at	616.89	482.58	508.84	270.6	298.38	288.07	506.87	403.57	503.71	551.11	548.48	420.51	
202917_s_at	1913.8	1914.1	1739.8	921.84	1364.2	1244.3	1743.6	1734.6	1496.5	2222.5	2116.5	1632.7	
202935_s_at	137.32	122.7	99.507	383.74	245.4	386.71	463.79	470.41	402.57	335.57	345.6	359.86	
202936_s_at	18.25	209.51	217.25	380.46	344.97	410.95	527.66	543.84	433.1	357.76	374.41	446.86	
203132_at	4875	5214.3	4758.1	3464.5	3167.4	3905	1935.2	1777.2	1443.1	2057.5	2323	2137	
203140_at	1368.6	1465.4	1244.7	2936.2	2316.2	2911.1	928.3	881.68	752.52	1544.2	1802.2	1759.3	
203186_s_at	8024.5	8315.9	8492.8	4619.7	5254.2	4909.7	9648.6	7612.4	7553.3	8970.7	8213.5	8121.4	
203290_at	2871.3	2507.4	3095.6	6471.8	6718.5	6830.3	1852.1	2077.7	2067.3	4557.4	4093.7	4117.6	
203434_s_at	537.25	483.71	512.55	1088.1	906.16	1098	299.23	331.41	394.21	714.67	701.71	688.01	
203435_s_at	322.48	165.54	252.04	999.52	558.86	461.81	72.987	75.263	55.369	399.49	468.86	275.72	
203440_at	619.62	829.93	858.91	310.42	343.46	320.79	508.49	366.25	414.04	395.45	235.67	380.31	
203510_at	125.58	116.27	139.91	516.88	349.89	337.41	111.84	115.61	75.993	226.51	330.06	210.26	
203535_at	705.36	748.25	707.06	520.51	427.67	432.09	781.75	583.11	724.23	838.06	977.13	904.5	
203548_s_at	532.46	650.67	451.89	361.7	279.17	359.21	484.53	510.29	376.23	472.52	663.28	599.71	
203570_at	19.011	44.289	18.189	8.449	7.847	8.625	10.899	6.716	5.518	8.932	7.527	8.572	
203641_s_at	370.37	303.92	401.53	747.76	688.66	731.62	275.02	218.21	220.07	404.31	402.35	482.51	
203642_s_at	653.56	571.27	574.8	1393	1307.9	1365.7	365.51	491.06	445.36	902.5	937.88	838.08	
203695_s_at	1259.4	1102.8	1343.3	3143.5	3315.7	3399	4273.4	4401.5	4530.8	2680.5	2585	2716.6	
203716_s_at	27.112	22.138	5.62	30.066	16.794	56.05	142.9	77.371	239.2	12.879	20.644	35.879	
203760_s_at	847.49	1199.8	1196.1	381.96	363.02	335.57	493.65	358.79	279.82	398.47	370.83	318.54	
203828_s_at	635.7	776.49	756.75	1424	1270.8	1168.9	1982.5	1567	1784.2	1162.1	846.61	899.55	
203835_at	123.06	112.03	12.259	65.957	32.917	40.569	24.954	48.093	32.832	18.242	33.866	31.534	
203865_s_at	255.27	283.7	268.03	20.922	49.708	25.509	14.176	12.793	7.183	15.863	21.89	10.195	
203886_s_at	257.06	201.3	248.03	56.83	39.618	85.355	17.339	26.552	49.403	7.607	10.558	6.309	
203913_s_at	146.78	192.75	100.34	60.006	31.772	8.022	36.523	41.469	9.608	3.017	1.339	7.972	
203973_s_at	4225.2	3883.4	4400	1803.5	2088.3	1894	3605.5	3507	3506.9	4232.3	3763.3	2880.8	
204039_at	8655.6	7959.1	9389.6	4456.4	4758.9	4199.4	7898.3	7877.6	7917.1	8415.2	7117.4	6536.6	
204112_s_at	2239.8	2298.2	2202.7	1594.1	1285.9	1606.8	2146.5	2244.7	2101	2182.2	2629.4	2232.4	
204201_s_at	195.8	136.96	153.43	633.83	624.44	717.08	1197.9	1315.1	1109	643.82	904.64	749.65	
204409_s_at	2677.9	2605.3	2300.3	4156	3274.5	4040.4	1958.5	2315.7	1947.5	3216.9	3689.1	3280	
204410_at	555.22	602.98	646.95	958.45	880.03	852.5	497.23	454.31	519.98	827.03	805.96	832.47	
204445_s_at	298.09	312.14	271.17	518.81	576.21	397.39	129.92	188.76	132.16	326.07	392.3	288.91	
204446_s_at	818.84	755.97	700.68	1895	1535.5	1630.6	707.7	759.44	485.88	1096.3	1512.5	1019.5	
204463_s_at	15.475	29.229	11.287	91.936	82.589	72.874	128.91	148.71	116.25	78.461	45.937	44.858	
204466_s_at	526.11	440.69	591.6	1120.3	1133.5	981.36	1713.7	1530.4	1975.8	1189.3	1069.2	896.26	
204497_at	1134.5	1274	1211.2	684.64	580.22	456.99	1158.3	1262.5	936.4	1178.3	1349.2	1239.7	
204517_at	3628.6	3627.6	3474.7	2152.6	2078.3	2122.6	3581.4	3493.8	2951.9	3715	3740.4	3563.9	
204518_s_at	1159.5	1035.3	1312.4	659.87	773.36	683.85	945	982.83	950.35	1063.3	981.21	1330.4	
204548_at	424.83	468.63	567.64	244.94	231.4	279.14	393.11	459.19	393.84	506.49	459.06	428.3	
204561_x_at	7498.1	7531.7	8279.4	3006.6	3367	2949.9	6397.8	6265	6945.9	7468.2	6507.1	6349.8	
204562_at	1373.1	1290.2	1311.7	3336.4	3707.8	3698.8	6873	7007.2	7378.6	4422.7	3890.2	4358.9	
204614_at	5856.1	6257.7	6433.7	4114	4025.3	4613.6	6578.4	7317.9	6409.1	6802.5	6427.9	6991.7	
204655_at	1111.5	1087	1119.7	1978.6	2389	2182.5	4075.3	2934.5	3353.8	2134.4	2429.9	2223.8	
204661_at	945.45	1412.5	1071.8	2092	3215.2	2362	889.44	642.63	835.2	1480.2	1170	1849.9	
204698_at	737.53	604.65	722.74	1444.6	1428.3	1543.9	607.78	357.62	408.26	922.32	950.28	767.49	
204749_at	275.77	262.83	244.68	434.27	364.98	362.94	850.11	930.15	738.76	564.3	543.98	612.02	
204882_at	384.16	322.79	330.56	488.19	544.92	389.52	64.834	200.56	58.652	321.74	347.41	525.18	
204890_s_at	2763.3	2877.6	2819.3	1029.3	1080.4	942.29	438.58	270.24	394.32	215.39	229.45	271.7	
204891_s_at	5595.8	5501.5	5076.3	1646.3	1432.3	1369.1	287.52	250.33	239.88	136.32	59.898	90.477	
204959_at	4024.7	4049.5	3876.5	2280.7	2074.8	2334.8	3600.9	4029.3	3674.5	4219.2	4132.9	4016.5	
204961_s_at	902.11	884.84	993.11	1172.7	1688.6	1285.1	803.87	913.61	756.57	1003.1	963.77	977.53	
204971_at	5974.8	5825.8	7234	3156.7	3652.5	3378	5881.7	5829.3	6043.1	6593.1	5811.1	5786.6	
205000_at	2075.6	2098.1	1978.4	2856.7	2269.4	2520.1	1831.7	1880.8	1676.8	2355.6	2998.4	2429.4	
205124_at	299.51	281.7	328.66	540.6	537.13	600.59	251.14	352.79	205.52	428.94	351.37	456.23	
205131_x_at	3785.2	3248.2	3444.5	1430.2	1537.2	1313.5	2901.6	2769.6	2787.3	2851.8	2932.5	2982.1	
205280_at	239.14	256.02	282.85	89.943	98.305	141.24	100.17	128.97	142.69	104.72	119.36	110.61	
205297_s_at	1846.1	1704.2	1868.7	3567.4	4527.8	3678.6	1637.7	1328.7	1525.2	2789.6	2539.5	2301.1	
205382_s_at	3068.2	2742.6	3626.4	1444.5	1401.4	1471.1	2685.9	2424.1	2644.4	2644	2963.9	2742.6	
205403_at	380.94	502.02	431.04	1036.4	1008.8	986.31	393.85	362.95	350.74	834.92	764.26	813.09	
205453_at	71.07	103.92	167.02	188.12	191.66	221.1	377.38	357.64	297.16	293.42	278.06	348.83	
205456_at	1400.7	1437	1373.9	665.41	852.12	747.84	286.97	207.7	260.5	246.79	106.44	307.3	
205476_at	22.898	20.417	23.228	37.83	72.327	42.313	68.092	139.19	76.678	53.333	43.285	59.805	
205498_at	418.61	471.63	456.4	1271.4	1261.2	1147.9	1636.3	1660	1714.2	1113.4	1089.1	1157.1	
205544_s_at	3219.7	2945.8	2405.3	7733.9	6953.6	7039.2	5545.9	4740.1	5250.4	5449.3	5042	5196.4	
205569_at	400.79	537.26	443.79	827.8	767.06	757.21	1313.8	1197	1238.1	656.61	712.32	688.6	
205573_s_at	463.11	461.13	447.74	285.4	207.04	198.53	429.44	421.47	478.55	438.4	488.26	519.39	
205612_at	97.482	128.43	97.825	403.95	241.75	255.65	424.99	613.9	595.72	345.78	402.13	312.52	
205671_s_at	711.36	634.42	731.09	1144.1	1939.1	1459.9	579.48	574.51	505.4	1157.1	988.98	1189.1	
205681_at	1893.1	1830.5	1694.8	4941.8	4174.9	4699.4	6266.6	6445.1	5863.2	4429.9	4787.6	4180.4	
205692_s_at	2415.3	2020.2	2369.5	2265	2631.8	2264	1778.9	1817.5	1824.6	2733.5	2409.1	2346.9	
205715_at	1051.9	1016	987.51	459.75	516.72	512.98	916.71	820.79	912.57	827.89	1146.4	873.63	
205801_s_at	514.55	586.73	571.53	1464.3	1279.5	1490.1	526.12	399.83	481.95	853.07	788.14	789.53	
205848_at	324.38	364.68	299.7	178.54	127.47	166.76	129.82	122.97	98.781	55.758	87.954	47.747	
205861_at	2063.9	1989	2188.5	4031	4732.6	4091.3	1655.5	1437.1	1694.3	3011.5	2579.2	3009.1	
205890_s_at	146.82	238.31	221.35	593.52	655.1	655.7	2810.6	2609.5	2827.2	1661.3	1548.8	1637.3	
205902_at	31.967	21.141	18.789	209.9	41.052	55.341	12.792	12.928	16.98	25.606	52.506	42.784	
205903_s_at	432.4	430.35	381.69	708.47	755.05	586.91	216.7	221.15	227.68	528.53	590.96	602.15	
205922_at	209.54	197.27	190.1	475.27	482.48	454.09	157.22	249.6	217.26	389.45	253.28	389.29	
205945_at	3013.6	3080	2545.2	1454.4	1332.5	1808.6	2167.4	2624.9	2077.3	2346.9	2562.8	2260	
205997_at	6.131	31.555	18.668	177.71	143.64	104.17	23.235	24.454	6.605	50.121	80.042	41.492	
206023_at	1028.2	1030.1	1136.4	2333.6	2262.1	2414.6	772.54	654.67	711.2	1768	1669	1684.3	
206045_s_at	5.907	18.116	4.097	156.5	91.256	108.27	223.57	200.44	229.66	24.086	149.82	72.416	
206070_s_at	1330.9	1313.7	1262.4	654.61	515.3	553.86	260.88	266	293.04	168.69	205.05	167.6	
206082_at	146.37	194.19	175.62	472.52	518.24	497.58	551.53	591.69	639.46	270.27	458.39	464.5	
206100_at	832.05	812.93	854.28	420.86	343.51	419.63	666.31	834.07	823.58	773.76	804.64	752.69	
206111_at	15119	14833	17072	11424	13070	13461	17745	15924	16061	19876	14178	17005	
206120_at	525.31	556.48	649.18	282.28	267.16	287.97	682.01	595.29	661.78	493.16	618.04	706.16	
206126_at	186.73	174.74	221.41	331.13	440.06	383.44	159.46	141.03	179.44	389.42	427.96	292.03	
206150_at	1801	1572.6	1729	3247.5	3796.2	3746.5	1252.7	1118.2	1330.2	2759.1	2435.5	2446.7	
206206_at	227.36	259.54	315.05	528.81	528.05	465.28	108.59	192.7	106.5	396.72	251.28	270.44	
206255_at	638.25	563.51	594.53	1165	1308.7	1186.9	816.71	1023.6	840.1	819.32	984.4	1128.2	
206271_at	140.38	150.72	144.64	287.81	383.64	326.22	469.37	425.42	340.25	280.39	399.39	198.68	
206277_at	1012.8	1146.1	1203.9	535.41	464.36	457.85	791.02	930.48	954.32	921.74	950.59	1211.6	
206283_s_at	1685.2	1572.9	1566.3	428.97	426.01	419.51	111.53	102.46	127.46	49.415	60.069	73.308	
206307_s_at	3202.6	3289.8	3994	1589.8	2122.5	1352.6	2943.4	2952.9	3438.3	3770.6	3283.4	2992.2	
206310_at	122.56	116.69	58.453	199.21	176.91	377	34.34	58.6	16.284	167.42	163.36	152.94	
206480_at	328.47	249.09	350.52	137.92	125.12	114.66	183.19	177.46	197.61	269.28	274.67	266.08	
206513_at	1011.3	805.01	934.3	1703.9	2032.8	1589.5	701.58	616.51	726.3	1118.6	1125.7	1240	
206545_at	342.5	314.83	320.84	172.41	137.29	148.72	26.09	60.83	74.256	46.858	36.156	43.165	
206546_at	326.43	316.93	299.55	122.85	69.334	126.78	41.391	57.033	5.448	27.342	3.31	2.735	
206609_at	259.76	237.83	267.46	590.74	614.11	789.9	1217.9	1334.8	1390.2	864.92	868.11	903.57	
206618_at	147.4	164.1	171.04	333.51	229.69	345.12	690.53	748.92	788.29	432.26	393.45	404.35	
206624_at	85.958	85.069	50.374	206.22	145.54	188.09	87.061	90.443	49.823	44.542	125.34	47.425	
206640_x_at	522.21	309.19	487.34	893.12	879.06	964.76	1624.5	1532.6	1634.5	1042.4	754.02	779.22	
206727_at	67.945	69.32	49.822	21.279	5.001	23.343	12.609	8.047	2.33	4.379	1.556	10.237	
206759_at	1337.5	1129.5	1130.4	3137.3	3731.7	3367.3	3986.7	3846.5	3930.6	2644.7	2299.1	2446.2	
206760_s_at	733.43	837.01	681.87	2368.7	2526.7	2554.5	3007.3	2708.4	2686.3	1763.3	1915.6	1767	
206804_at	1387.6	1259.1	1404.7	511.56	549.77	547.43	212	120.48	129.14	20.348	53.755	39.455	
206871_at	17516	16928	18004	8901.2	10103	9312.8	16277	16185	15842	17671	15298	15653	
206975_at	282.46	279.09	371.29	846.92	1131.5	716.26	1241.3	1043.4	1325.2	837.2	729.58	810.45	
206978_at	2654.9	2686.6	2724.4	1620	1590.9	1649.8	2593.7	2400.5	2525.9	3176.6	2883.6	2658.1	
207015_s_at	210.69	257.56	121.79	27.974	38.725	162.76	26.129	29.901	36.972	10.495	14.131	23.873	
207016_s_at	539.06	575.52	726.94	264.93	320.06	383.8	26.028	35.808	74.326	153.78	16.093	94.606	
207039_at	251.32	230.84	243.09	564.84	531.55	572.7	208.06	216.04	248.64	396.36	414.85	268.33	
207245_at	69.497	33.884	40.805	168.83	75.619	151.13	348.07	344.2	490.54	315.36	260.01	218.52	
207250_at	299.19	332.55	250.06	99.371	60.476	97.066	62.435	14.561	13.312	17.918	14.619	21.927	
207281_x_at	127.49	177.21	236.06	370.83	387.97	425.82	642.21	616.75	744.87	530.36	381.75	368.76	
207339_s_at	845.01	741.17	828.72	1537.9	1755.6	1688.2	579.05	552.33	524.89	1082.3	880.16	1117.5	
207341_at	13616	13293	16732	7857	8673.7	7942.6	12277	11544	14892	15165	11709	14666	
207397_s_at	320.31	449.8	369.67	67.741	84.788	107.97	11.594	16.124	3.078	6.12	3.977	7.147	
207398_at	185.09	166.4	190.65	25.55	41.144	26.489	7.204	7.182	24.331	14.533	5.162	6.645	
207469_s_at	663.42	594.37	703.29	580.56	645.57	642.21	1171.8	1044.5	1153.6	794.71	934.76	804.05	
207691_x_at	492.39	538.66	506.71	1174.9	1225.1	1162.6	2415.4	2608.9	2581.7	1640.6	1567.4	1740.3	
207761_s_at	1031.2	1095.9	1015.8	2189.8	2051.9	1911.5	775.28	723.4	661.37	1523.6	1599.9	1513.3	
207861_at	2038.2	2428.3	2349.6	4535.5	5215.2	4705.2	2414.2	2428.1	2599.3	3468.7	3290.8	2919.6	
207865_s_at	1053.3	933.58	953.9	441.34	487.29	554.49	854.42	822.04	810.35	811.21	790.68	816.43	
208029_s_at	3747.4	3780.1	3688.1	1418.2	1625.8	1470.9	1736.3	1712.4	1741	1909.8	1999.7	1890.1	
208461_at	4.267	4.013	8.572	14.677	49.105	80.952	120.11	102.67	106.22	47.171	35.339	9.004	
208524_at	570.62	581.58	690.7	1694.8	1531.8	1677.7	2981.1	3132.3	3468.7	2050.3	1722.7	1871.5	
208683_at	3816.6	3809.1	4017.9	2218.2	2286.6	2110.5	3694.3	3692.1	3682.5	3942.1	4050.7	4028.3	
208937_s_at	2775	2594.5	2633.5	918.05	702.47	926.27	718.24	680.92	725.46	618.46	764.75	647.66	
209031_at	622.63	513.45	530.96	1106.2	1498.4	1256.8	3005.4	2867.9	2542.9	1738.3	1892.9	1635.4	
209160_at	366.63	188.98	221.98	92.851	117.76	125.09	52.214	82.383	69.132	72.615	55.955	64.801	
209185_s_at	1449.8	1568.5	1795.7	850.4	1203.5	1058	1592.6	1260.9	2012.3	1754.1	1533.5	1930.5	
209191_at	3543.7	3793.4	3722.9	2104.8	2067.7	2058.2	3419.5	3354.6	3345.2	3908.2	3902.2	3717.1	
209210_s_at	533.21	572.34	589.11	592.05	526.44	575.38	1284.5	1169.3	1338.1	705.77	844.34	729.15	
209213_at	194.57	239.99	221.8	203.68	207.69	182.27	527.98	559.32	596	400.66	372.36	474.94	
209301_at	15902	16197	18309	13282	13174	14398	17489	17606	17511	18722	16702	17632	
209355_s_at	14.762	11.708	21.691	58.828	18.284	82.516	187.69	217.28	160.79	87.934	81.439	63.049	
209374_s_at	12047	12150	12283	21036	32724	26348	9293	10036	11733	18036	15522	18433	
209395_at	18663	17916	19719	12809	13618	13918	17892	18659	18540	20267	17526	18140	
209396_s_at	16507	15579	18114	10185	11805	11314	16229	16814	16672	18236	15506	17165	
209470_s_at	205.72	211.67	168.45	667.14	606.31	616.24	745.75	764.08	728.01	569.52	623.3	466.14	
209473_at	511.5	574.23	547.04	1486.7	1410	1372.9	2532.1	2579.9	2568.8	1340.6	1659.2	1592.9	
209474_s_at	286.64	371.67	306.31	1239.5	1092.8	943.72	2275.2	2543.7	2041	1365.3	1571.8	1503.5	
209524_at	1045.7	973.38	861.37	436.01	347.79	327.61	314.04	318.24	223.83	134.55	216.61	216.74	
209590_at	372.15	347.29	219.77	615.08	675.73	541.34	254.39	257.72	254.4	414.59	387.81	461.56	
209591_s_at	473.79	505.09	582.65	981.44	947.22	977.68	346.5	411.61	426.3	740.24	609.58	743.88	
209598_at	1124.7	1208.4	1079.5	407.99	445.31	380.33	104.42	201.73	203.54	126.26	120.89	132.39	
209602_s_at	243.97	264.91	201.75	84.062	97.554	108.61	3.439	5.361	5.848	5.462	3.452	7.645	
209604_s_at	2241.4	2355.9	2020.9	848.4	742.48	812.77	273.71	422.92	345.02	246.62	220.65	247.17	
209616_s_at	1892.3	1618.3	1860.2	904.99	823.69	834.53	1556.5	1514.2	1274.5	1624.6	1722	1398.7	
209619_at	16504	15343	18527	21204	34598	28976	19127	19402	19600	23982	18825	21172	
209692_at	98.045	133.81	145.77	220.48	180.36	159.6	316.65	333.29	326.02	240.87	169.27	188.75	
209728_at	171.92	205.51	81.789	914.48	555.83	761.34	1122.9	1263.3	838.49	758.97	1000.1	632.12	
209729_at	527.87	402.28	338.62	76.401	48.557	174.79	91.375	172.09	54.068	52.921	80.407	83.857	
209757_s_at	206.81	227.32	120.24	35.869	70.759	74.011	12.215	25.302	8.772	13.21	6.154	13.272	
209763_at	1279.4	1278.1	1235	494.32	350.8	377.69	158.86	174.84	178.49	56.235	117.54	95.195	
209803_s_at	404.12	424.56	370.47	233.25	172.4	237.22	378.03	336.23	340.48	377.06	471.35	357.14	
209829_at	479.1	595.74	551.91	1440.3	1072.8	1206.8	355.24	435.36	446.92	703.3	839.38	717.32	
209881_s_at	969.85	824.39	888.15	210.1	276.83	227.89	199.56	161.34	67.306	207.63	30.452	51.782	
209905_at	649.8	658.04	682.35	289.48	306.99	322.97	559.04	543.73	480.41	582.11	737.96	747.32	
209933_s_at	675.98	549.61	672.76	1379.9	1457.3	1375.9	1591.3	1316.3	1400.1	1002.9	1131.1	1004.8	
209942_x_at	2060.8	2022.5	2099.3	5366.6	6040.5	5991.5	12248	13454	12643	9052.3	7840.7	8222.3	
209987_s_at	10.05	21.151	21.212	98.864	133.24	98.643	421.75	353.94	367.66	201.86	249.01	370.55	
