	GSM279589	GSM279590	GSM279591	GSM279592	GSM279593	GSM279594	GSM279595	GSM279596	GSM279597	GSM279598	GSM279599	GSM279600
203140_at	273.2	75.32	140	32.175	7.695	56.341	8541.6	8361.8	6406.2	226.4	448.98	301.73
203186_s_at	561.51	491.27	491.54	15.068	13.955	11.316	24.441	14.91	16.848	19364	18865	19509
203290_at	21.029	18.199	17.393	141.97	167.45	307.94	10696	12657	11964	10.625	226.04	17.907
203434_s_at	11.88	9.164	5.034	59.34	3.768	10.871	3132.3	2903.4	2543	8.625	67.541	13.28
203435_s_at	43.753	16.187	30.012	31.33	24.068	35.774	2384.5	2252.4	2445.8	45.695	26.096	29.824
203440_at	977.33	1398.9	1596.3	6.964	15.532	8.814	11.613	11.709	9.621	545.97	630.49	700.01
203510_at	7.433	7.279	11.365	13.625	26.052	37.49	780	663.86	658.81	2.537	63.739	14.297
203535_at	53.744	13.278	8.491	100.23	13.336	27.184	15.769	21.593	14.322	1498.5	1695.1	1630.3
203548_s_at	19.02	2.911	5.305	5.692	70.769	60.343	4.025	14.824	14.386	663.32	1199.8	1058.2
203570_at	279.81	215.9	122.55	6.589	5.249	4.36	5.863	5.581	9.8	8.042	5.707	6.437
203641_s_at	127.45	10.523	25.523	15.028	70.804	71.455	2051.8	1543.1	1920.3	54.334	35.025	45.545
203642_s_at	42.375	36.775	53.837	26.885	14.951	18.958	3177.7	2980.9	2873.1	76.586	88.115	41.383
203695_s_at	454.13	291.57	339.85	13093	9102.5	9252.1	73.069	146.53	92.072	1070.8	285.81	498.4
203716_s_at	9.847	3.788	11.778	511.63	424.42	481.29	5.539	6.639	5.172	11.7	12.108	13.339
203760_s_at	2727.4	2607.4	3274.9	16.117	16.534	10.237	15.848	18.654	25.727	1059.1	856.36	934.57
203828_s_at	1225.1	1467.4	1210.5	5935.5	3673.2	3808.7	16.547	24.871	15.777	132.92	8.66	20.47
203835_at	28.645	10.433	9.622	6.181	9.971	5.973	116.94	631.49	271.88	9.27	7.342	9.464
203865_s_at	1231.1	1045.9	1067.6	5.605	29.322	10.155	11.796	3.727	8.189	7.357	34.807	12.946
203886_s_at	329.01	440.65	303.08	13.665	5.686	15.333	7.539	14.834	6.548	6.986	12.7	10.698
203913_s_at	478.39	511.6	353.14	9.851	23.801	7.901	21.513	8.864	8.577	23.816	17.943	6.293
203973_s_at	187.78	237.68	171.2	48.407	58.202	39.633	59.873	23.391	11.147	9804.5	10484	9611.8
204039_at	313.96	132.51	294.48	34.506	49.62	44.041	31.553	41.332	22.258	19992	18489	18919
204112_s_at	36.434	11.319	15.184	15.042	5.524	4.823	24.27	13.728	5.174	5187.5	4836	4394.6
204201_s_at	68.733	16.393	57.371	2381.9	2726.9	2701.2	32.224	8.968	44.035	303.29	40.127	143.69
204409_s_at	18.975	17.65	26.828	25.836	11.607	58.643	7361.2	5203	6436.3	2225.5	2736.8	2376.7
204410_at	27.578	7.837	7.479	44.345	13.511	3.107	1464.4	1565.5	1594	648.58	665.85	696.74
204445_s_at	20.761	30.915	67.591	86.401	8.849	11.734	1407.4	1236.6	971.14	108.97	206.31	137.7
204446_s_at	51.455	60.302	66.179	86.582	45.917	64.472	5295.6	3909.4	4267	305.34	487.35	333.39
204463_s_at	2.927	1.617	8.637	390.96	301.32	313.7	3.125	19.849	3.304	6.966	3.473	11.397
204466_s_at	269.87	136.62	182.07	4541.6	3107.4	3682.5	32.793	4.877	15.305	554.37	33.247	163.14
204497_at	18.467	124.18	160.74	11.72	5.539	5.032	1.361	41.408	10.6	2772.2	2857.1	2735.1
204517_at	165.21	25.564	101.6	99.402	80.079	105.63	64.06	22.226	85.105	7438.6	8569.2	8015
204518_s_at	11.64	9.621	18.775	11.227	13.111	12.246	6.782	14.749	13.703	3306.7	3089.6	2904.8
204548_at	12.945	4.125	4.139	30.518	6.368	46.523	7.976	8.69	19.315	856.15	953.29	983.63
204561_x_at	46.447	37.33	45.89	35.893	35.296	28.615	40.146	43.19	31.076	14984	15373	14944
204562_at	148.23	113.05	119.47	11752	12679	13298	696.99	685.6	1151.7	2328.3	152.42	867.71
204614_at	21.466	7.539	21.073	1902.7	1997.2	2215.8	8.465	9.24	29.483	9522.3	11232	9948.3
204655_at	95.537	25.077	46.588	9144.2	5881.2	5548.9	207.6	113.03	141.65	1503.3	1213.9	1213.6
204661_at	182.97	102.33	177.63	17.098	13.351	13.22	9149.6	6104.5	7310.4	228.11	458.26	218.06
204698_at	112.29	10.851	27.019	637.25	194.77	192.3	5698.9	7083.2	4103.6	12.868	11.709	7.911
204749_at	11.847	4.994	44.023	1301.5	1594.5	1433.5	10.542	7.396	58.873	340.58	336.15	307.58
204882_at	37.103	12.431	87.572	10.77	7.018	7.552	1217.5	848.21	1126.3	288.75	273.11	245.13
204890_s_at	8861.1	8304.6	8567	110.75	98.394	134	460.66	543.24	394.17	80.35	56.125	83.394
204891_s_at	12826	13439	14539	15.002	10.816	11.489	521.59	594.32	343.47	9.367	11.375	17.521
204959_at	80.159	26.104	54.986	444.72	363.31	299.87	88.914	111.37	76.136	7857	8883.3	8379.5
204961_s_at	12.076	20.274	7.72	439.93	193.34	214.45	4653.8	6743.7	3833.1	377.13	390.18	358.03
204971_at	151.78	45.525	8.749	39.453	40.411	90.824	92.914	37.18	70.876	15187	12847	12122
205000_at	10.852	68.159	43.975	28.991	19.77	10.883	3930	3704.4	4274.8	2646.1	3510.9	3191.1
205124_at	73.752	40.103	40.914	68.287	67.329	12.314	2154.9	2172.4	1492.7	13.164	13.206	13.175
205131_x_at	313.72	282.88	258.3	41.547	94.622	86.308	84.558	105.65	127.69	10470	7548.2	8955.2
205280_at	450.34	781.3	568.72	1.76	3.838	3.974	1.291	4.888	1.926	209.84	331.83	210.07
205297_s_at	91.008	139.36	125.94	1508.6	750.11	712.17	8922.6	9350.3	7404.8	253.89	235.36	222.1
205382_s_at	486.31	331.57	433.07	45.266	13.11	7.266	11.87	29.451	3.604	7590.8	6768.3	6745.6
205403_at	23.315	10.711	17.647	37.255	42.195	38.147	1693.2	2417.5	2190	93.619	23.967	22.192
205453_at	41.836	9.727	55.508	858.16	822.29	875.58	17.152	19.758	18.094	61.684	23.229	37.425
205456_at	2986.2	4129.3	3884.2	120.29	91.849	73.226	68.784	133.68	72.979	56.795	27.172	38.658
205476_at	12.063	5.302	4.968	617.89	660.64	605.4	4.624	11.918	10.03	15.951	13.695	11.403
205498_at	47.896	9.334	77.974	5394.1	3957.6	4279.9	10.026	32.319	29.989	484.96	110.17	176.34
205544_s_at	55.609	5.434	18.965	13960	9073.8	8490	9635.4	9851.5	9551.1	588.59	153.99	165.08
205569_at	679.15	697.6	660.12	3718.3	2542.7	2752.4	16.028	49.79	3.465	189.53	76.815	60.099
205573_s_at	4.218	3.908	6.268	22.979	62.994	38.827	6.748	2.565	3.202	880.92	942.54	861.29
205612_at	6.211	2.68	40.131	1396.3	1151.9	1194.7	1.864	40.35	22.275	81.788	10.553	20.098
205671_s_at	114.31	65.009	68.275	274.6	205.59	262.88	3123.9	2626.8	2236.2	71.167	39.653	47.403
205681_at	22.425	50.501	103.91	12622	10997	11019	4504.4	4579	4609.5	623.14	114.27	239.32
205692_s_at	65.602	98.821	112.44	16.561	23.588	20.592	5491.7	6556.2	4203	2493.9	3016.6	2892.7
205715_at	150.9	128.9	148.89	3.252	6.806	7.352	9.573	18.644	4.388	2270	2348	2164.5
205801_s_at	17.328	7.762	16.159	369.54	310.43	238.76	2841.7	3380.2	2573.7	60.014	47.841	35.758
205848_at	1435.1	1386.4	883.26	262.47	158.58	181.17	30.727	4.323	28.211	7.779	6.977	4.179
205861_at	134.9	36.26	275.06	650.58	361.93	314.27	9627.4	12289	8181.1	420.54	435.48	337.22
205890_s_at	8.978	9.309	10.869	2398.6	5028.6	5193.2	16.752	13.521	10.364	55.19	13.065	8.633
205902_at	9.793	5.011	7.339	8.252	7.876	7.815	874.63	852.57	875.94	7.33	8.287	7.564
205903_s_at	6.952	4.133	7.09	135.59	7.658	9.36	1798.4	2319.2	1680	12.206	5.058	21.735
205922_at	7.589	6.275	4.984	229.53	171.12	179.94	1447.8	1139	979.39	21.988	6.272	6.01
205945_at	64.158	8.544	4.253	5.961	54.397	47.828	3.144	18.442	34.126	5503	7625.5	6403.2
205997_at	11.584	5.509	8.45	4.159	8.042	14.025	330.99	422.14	381.12	5.915	4.889	6.59
206023_at	4.726	28.135	4.414	5.426	17.428	7.884	5608.1	5517.7	5407.8	33.963	90.474	5.499
206045_s_at	6.219	8.999	4.744	410.2	545.83	464.25	2.775	6.265	2.916	14.099	4.608	13.148
206070_s_at	2645.4	4092.2	3067.5	784.51	596.6	541.05	1.056	3.049	42.885	26.194	5.602	33.392
206082_at	9.509	13.657	9.371	1844.5	1285	1330.1	253.72	232.1	260	42.36	62.684	21.307
206100_at	31.271	8.379	28.935	5.605	20.644	2.121	5.524	31.565	4.4	1681.6	1909.3	1943.4
206111_at	124.3	30.139	141.91	144.06	135.67	97.591	50.7	52.91	149.78	26555	22750	23452
206120_at	15.884	6.806	12.61	26.703	13.025	35.174	29.203	19.267	8.385	1628.5	1173.8	1266.2
206126_at	17.817	4.599	9.003	14.97	9.573	20.481	1032.8	1315.5	878.13	70.539	39.754	9.721
206150_at	188.61	82.529	113.43	208.03	124.02	139.03	10147	10379	8170.7	120.28	240.25	112.78
206206_at	34.517	17.627	79.84	47.786	14.209	99.286	1924.8	1790.4	1314.5	77.519	58.16	36.825
206255_at	29.816	8.216	7.496	2269.2	1188.6	1231	2312.9	2984.3	2312.4	133.81	26.427	45.67
206271_at	3.397	29.886	18.982	1464	1237.8	1382.7	9.418	4.599	47.773	127.27	14.527	90.514
206277_at	17.378	5.918	17.259	6.473	13.349	10.752	5.053	8.71	7.761	1959.8	2453.1	2429
206283_s_at	4561.1	5822.7	5601	59.561	30.416	43.707	30.93	55.186	90.57	90.501	31.438	72.973
206307_s_at	91.798	144.6	144.66	8.73	19.828	17.984	110.31	20.272	29.265	8071.3	8951.2	8355.5
206310_at	45.074	31.75	36.542	11.464	64.228	37.987	835.31	719.51	609.54	16.505	11.419	27.696
206480_at	6.812	9.568	15.64	5.697	31.054	8.624	22.808	15.974	7.238	860.39	751.1	850.69
206513_at	56.093	6.013	54.306	156.61	129.03	146.55	4061.5	3389.2	3715.7	73.494	58.479	119.89
206545_at	684.14	965.9	715.62	65.892	7.288	37.205	23.941	37.794	2.846	5.26	37.961	38.587
206546_at	967.81	1284.9	924.75	42.383	7.668	13.053	29.426	1.231	29.467	5.419	40.99	22.782
206609_at	24.766	47.901	109.86	2350.5	2651.4	2548.3	92.913	20.998	19.59	457.83	76.589	220.83
206618_at	17.659	8.052	10.985	1535.7	1501.9	1673.4	8.294	10.479	13.639	141.62	9.637	18.916
206624_at	1.585	2.154	5.726	7.613	8.382	48.392	322.03	291.52	408.37	25.144	14.087	32.259
206640_x_at	559.42	527.85	500.35	3759.6	2767.7	3385.5	28.11	12.284	7.673	356.98	11.68	102.19
206727_at	403.51	449.98	311.64	5.288	4.942	7.073	5.749	11.501	3.713	2.738	5.322	7.94
206759_at	13.711	8.776	6.015	13236	7486	7472.4	922.79	915.72	1134.3	797.05	13.57	316.9
206760_s_at	16.224	12.459	16.59	10148	6108.6	5825	635.67	655.47	878.11	332.4	11.085	38.023
206804_at	4160.3	5378.4	5496	20.33	29.763	22.898	29.028	94.066	54.41	30.161	33.592	34.033
206871_at	13.886	6.047	11.066	14.743	86.417	16.29	4.538	18.927	16.283	32112	27882	31235
206975_at	10.112	8.315	20.301	3187.7	2600.5	2624.8	684.95	798.71	892.18	109.9	9.661	24.995
206978_at	95.29	80.89	38.752	65.772	46.103	65.327	28.858	52.311	91.976	6136.3	6689.7	5534.1
207015_s_at	1451.3	747.58	866.63	24.854	9.484	24.533	54.381	35.86	10.714	25.077	25.742	21.83
207016_s_at	4667	3289.4	3086.6	12.093	45.426	19.377	21.144	79.283	16.353	32.37	21.642	54.919
207039_at	97.114	18.318	23.625	215.83	167.97	218.84	1403.3	1319.6	1173.1	16.042	20.952	30.801
207245_at	6.383	39.203	7.132	786	1044.7	1141.8	10.719	41.78	45.465	100.51	9.155	11.541
207250_at	826.31	979.93	929.68	10.403	29.778	34.321	61.364	13.197	19.134	4.999	16.84	22.757
207281_x_at	13.438	15.616	63.094	2415.7	1307.3	1201	15.108	114.75	36.126	184.56	43.785	67.851
207339_s_at	158.79	116.61	90.465	417.64	256.21	255.92	4965	6781.7	3775.2	159.59	217.41	125.95
207341_at	20.035	18.205	49.21	44.605	7.982	37.446	60.365	35.963	63.478	26396	21081	25424
207397_s_at	878.13	1449.1	1216.5	4.36	11.014	5.449	2.296	4.428	5.844	3.93	2.89	4.806
207398_at	671.19	613.67	762.48	15.507	7.73	5.424	9.867	6.903	8.429	12.458	7.596	8.518
207469_s_at	5.413	4.443	32.691	1615	1334	1579.4	7.067	10.508	8.891	1033.7	1285.6	1163.5
207691_x_at	176.09	82.899	79.896	5439.9	5498.6	5594.5	83.495	69.459	15.372	766.08	168.56	323.71
207761_s_at	322.05	135.52	169.17	110.6	90.713	157.12	7061.7	6524.1	5227.9	345.84	352.57	318.1
207861_at	21.207	14.095	15.177	1877.6	2836	3175.3	1977.9	2891.4	7385.4	67.798	28.464	30.157
207865_s_at	7.512	3.652	53.505	47.546	24.634	77.125	4.135	58.393	13.44	2293.8	2196.6	2190.4
208029_s_at	6560.8	7971.4	7255.1	5.361	18.663	3.464	8.955	56.211	48.154	4154.3	4111.2	4058.5
208461_at	8.597	3.849	4.05	273.33	319.82	276.78	2.904	4.619	4.584	6.238	2.772	3.402
208524_at	142.19	119.05	62.976	4720.5	4894	4749.8	109.38	132.67	95.61	860.38	48.895	392.57
208683_at	197.66	65.285	128.56	84.644	26.893	72.055	48	72.391	71.636	8967.8	9081.3	8716
208937_s_at	3757.6	7497.8	6866.7	65.554	167.36	200.34	6.103	27.312	26.469	676.58	1637.3	1346.3
209031_at	538.37	644.03	601.77	3895.8	6117.5	6175.2	17.1	9.867	17.024	693.19	211.35	535.82
209160_at	1512.3	901.08	914.21	93.761	21.806	68.24	3.342	6.605	7.557	92.863	66.395	84.951
209185_s_at	364.9	439.91	398.44	21.098	19.5	32.706	10.196	52.585	23.206	4233.7	4505	3575.8
209191_at	47.39	74.083	47.906	51.207	30.84	15.961	564.77	592.97	476.07	7699.7	8750.6	8087.8
209210_s_at	1241	1204.1	1235.1	2634	3008	2465.4	1.503	1.695	4.948	230.88	116.4	120.63
209213_at	6.728	3.602	4.693	608.69	1223.9	858.92	7.113	5.724	4.92	428	398.09	325.94
209301_at	5.937	5.412	15.431	5.032	15.409	61.779	8.015	77.674	5.941	26523	22724	25455
209355_s_at	7.801	5.485	15.438	258.34	347.4	371.06	4.687	9.87	4.801	20.669	10.033	8.979
209374_s_at	22.592	17.58	22.02	3064.6	3232.4	3155	31865	40785	28959	715.32	1110.1	394.2
209395_at	7.244	9.705	10.176	4.616	10.568	14.874	14.447	34.824	6.152	26528	26329	26647
209396_s_at	62.287	4.185	14.169	6.184	19.026	19.993	15.718	2.729	12.355	28484	24716	26067
209470_s_at	26.196	10.913	28.549	2138.9	1687.5	1913.5	216.15	196.2	197.53	138.62	6.639	55.393
209473_at	135.37	56.731	24.62	7078.4	6311.6	6006	222.01	152.41	201.03	691.77	155.49	322.6
209474_s_at	61.03	7.994	13.977	5368	5873.4	5197.7	14.343	9.111	77.214	507.95	46.646	203.12
209524_at	3018.1	3559.1	2938.9	542	629.82	618.52	4.551	2.463	4.437	76.516	23.401	29.733
209590_at	34.095	11.915	18.017	17.83	63.55	149.67	1120.4	1441.6	824.87	85.125	84.015	79.746
209591_s_at	101.07	28.192	20.778	16.327	15.615	94.594	2850.2	3706.7	2427.3	128.24	99.709	19.186
209598_at	3401	3767.9	3818.2	92.969	78.997	59.498	26.207	49.789	100.06	163.43	82.833	54.683
209602_s_at	710.7	1115.4	732.51	4.213	3.972	7.327	0.675	0.701	1.012	6.242	3.627	3.419
209604_s_at	6511.3	5743	5860.3	144.34	169.58	138.1	109.33	55.294	21.872	101.66	235.54	165.06
209616_s_at	6.949	38.257	6.909	8.686	27.159	55.733	14.153	8.707	32.538	4482.3	4664.1	4345.7
209619_at	31.651	6.698	15.851	23980	22155	23198	30951	40277	27103	4925.4	2522.8	2796.6
209692_at	19.753	8.389	8.972	602	448.62	522.72	15.019	11.596	10.308	38.872	12.631	20.892
209728_at	9.245	4.282	9.411	3064.2	2860.1	2955.2	116.28	49.328	154.31	42.473	6.143	9.214
209729_at	1243.7	882.64	1191.6	11.454	36.147	25.998	11.27	12.51	8.325	111.06	196.04	197.53
209757_s_at	835	811.12	712.85	12.259	30.823	25.737	16.576	10.423	16.847	15.174	5.932	9.558
209763_at	2806.6	4177.5	3544.6	93.853	79.509	78.736	38.688	87.085	95.74	24.779	106.21	53.584
209803_s_at	7.429	5.586	2.368	6.873	31.347	60.32	3.358	5.234	15.436	655.87	762.98	655.05
209829_at	123.94	142.94	136.75	122.2	128	127.3	2926.4	2759.4	2822.1	13.682	81.039	56.97
209881_s_at	3146.6	2847	3400.2	73.683	48	45.182	83.766	199.72	65.94	192.66	116.55	150.28
209905_at	7.778	3.306	5.882	4.17	5.475	5.383	6.531	14.345	4.263	1286.3	1483.8	1365.6
209933_s_at	82.915	24.64	34.058	6119.2	2729	2785.8	54.455	32.738	14.829	560.27	312.65	507.37
209942_x_at	224.43	167.58	152.26	17164	20415	21145	29.637	57.2	34.134	4041.9	25.314	1433.2
209987_s_at	6.358	10.45	7.759	378.26	1349.4	1157.2	5.675	5.519	6.832	250.11	6.103	92.916
209988_s_at	70.766	44.57	25.931	1130.5	2930.5	3083.8	9.673	12.07	10.148	421.87	6.107	200.04
209995_s_at	123.72	20.149	9.278	39.525	66.281	27.397	9599.9	11622	8866.3	22.53	319.27	57.174
210031_at	2374	2617.1	2605.8	49.85	16.575	39.045	82.386	101.35	117.7	61.033	135.47	120.36
210103_s_at	22.422	5.984	22.031	1144.4	796.47	857.06	24.624	16.492	18.975	30.493	20.692	29.682
210116_at	3942.1	4226.6	4024.9	80.02	17.63	21.584	52.487	107.57	56.502	34.442	6.35	53.956
210135_s_at	138.47	50.458	76.068	128.63	97.493	120.78	46.194	43.512	13.398	5171.2	5674.3	5625.1
210145_at	2.14	12.337	22.466	944.35	1165.4	1004.6	2.636	6.714	5.962	657.46	937.85	877.66
210254_at	17.797	4.989	28.252	17.24	26.943	67.796	10.376	25.889	11.369	9076.8	9919.5	10034
210258_at	40.873	0.58	24.359	1.75	1.771	1.787	19703	16314	16219	8.972	359.68	49.915
210295_at	15.471	8.575	52.676	4151	4884.4	4189.7	14.536	31.441	11.2	190.57	10.362	36.178
210450_at	56.009	2.813	22.225	10.706	27.992	66.604	1435.2	1120.7	1236.1	28.486	67.638	49.393
